case_id,channel,checkpoint,dense_mse,dense_vs_full_limit_gathered_max_abs,dense_vs_pruned_max_abs,module_route_reduction,pruned_mse,query_route_reduction,region,relative_mse_degradation
0273,u,stage1_1005_best,0.02342722937464714,1.9073486328125e-06,0.11054849624633789,0.0,0.023350348696112633,0.5642903645833333,whole,-0.003281680360278016
0273,v,stage1_1005_best,0.20857682824134827,1.9073486328125e-06,0.11054849624633789,0.0,0.21066085994243622,0.5642903645833333,whole,0.009991674140698306
0273,p,stage1_1005_best,0.03421002998948097,1.9073486328125e-06,0.11054849624633789,0.0,0.03432975336909294,0.5642903645833333,whole,0.0034996572539919427
0273,omega,stage1_1005_best,0.46043410897254944,1.9073486328125e-06,0.11054849624633789,0.0,0.4636790156364441,0.5642903645833333,whole,0.007047494094509213
0273,temperature,stage1_1005_best,0.0278790146112442,1.9073486328125e-06,0.11054849624633789,0.0,0.028857151046395302,0.5642903645833333,whole,0.03508504331270722
0273,__all__,stage1_1005_best,0.15090546011924744,1.9073486328125e-06,0.11054849624633789,0.0,0.1521754264831543,0.5642903645833333,whole,0.008415642236558682
0273,u,stage1_1005_best,0.0075260973535478115,1.9073486328125e-06,0.11054849624633789,0.0,0.007687603123486042,0.5642903645833333,fluid,0.021459431409307575
0273,v,stage1_1005_best,0.005330156534910202,1.9073486328125e-06,0.11054849624633789,0.0,0.005635822657495737,0.5642903645833333,fluid,0.05734655644417855
0273,p,stage1_1005_best,0.01401875913143158,1.9073486328125e-06,0.11054849624633789,0.0,0.01431952603161335,0.5642903645833333,fluid,0.021454602177122674
0273,omega,stage1_1005_best,0.027443187311291695,1.9073486328125e-06,0.11054849624633789,0.0,0.027419542893767357,0.5642903645833333,fluid,-0.0008615769464434295
0273,temperature,stage1_1005_best,0.026115847751498222,1.9073486328125e-06,0.11054849624633789,0.0,0.02703312784433365,0.5642903645833333,fluid,0.03512350437801903
0273,__all__,stage1_1005_best,0.01608680933713913,1.9073486328125e-06,0.11054849624633789,0.0,0.016419123858213425,0.5642903645833333,fluid,0.020657578150509347
0273,u,stage1_1005_best,0.03662457689642906,1.9073486328125e-06,0.11054849624633789,0.0,0.036240559071302414,0.5642903645833333,near_interface_fluid,-0.010485249460017384
0273,v,stage1_1005_best,0.015308764763176441,1.9073486328125e-06,0.11054849624633789,0.0,0.018154000863432884,0.5642903645833333,near_interface_fluid,0.18585667389052493
0273,p,stage1_1005_best,0.041265543550252914,1.9073486328125e-06,0.11054849624633789,0.0,0.04410460591316223,0.5642903645833333,near_interface_fluid,0.06879982955881643
0273,omega,stage1_1005_best,0.5154553651809692,1.9073486328125e-06,0.11054849624633789,0.0,0.5149618983268738,0.5642903645833333,near_interface_fluid,-0.0009573415807248599
0273,temperature,stage1_1005_best,0.014069557189941406,1.9073486328125e-06,0.11054849624633789,0.0,0.014345331117510796,0.5642903645833333,near_interface_fluid,0.019600753872093812
0273,__all__,stage1_1005_best,0.12454476952552795,1.9073486328125e-06,0.11054849624633789,0.0,0.12556126713752747,0.5642903645833333,near_interface_fluid,0.008161704549071088
0273,u,stage1_1005_best,0.005722795147448778,1.9073486328125e-06,0.11054849624633789,0.0,0.005861770827323198,0.5642903645833333,far_field_fluid,0.02428458057534621
0273,v,stage1_1005_best,0.0032192266080528498,1.9073486328125e-06,0.11054849624633789,0.0,0.0032491085585206747,0.5642903645833333,far_field_fluid,0.009282338308547668
0273,p,stage1_1005_best,0.011843235231935978,1.9073486328125e-06,0.11054849624633789,0.0,0.011928630992770195,0.5642903645833333,far_field_fluid,0.00721050955772139
0273,omega,stage1_1005_best,0.005707657430320978,1.9073486328125e-06,0.11054849624633789,0.0,0.005717380437999964,0.5642903645833333,far_field_fluid,0.0017035023208179488
0273,temperature,stage1_1005_best,0.029354628175497055,1.9073486328125e-06,0.11054849624633789,0.0,0.030329762026667595,0.5642903645833333,far_field_fluid,0.03321908372814973
0273,__all__,stage1_1005_best,0.011169509030878544,1.9073486328125e-06,0.11054849624633789,0.0,0.011417330242693424,0.5642903645833333,far_field_fluid,0.022187296785361733
0274,u,stage1_1005_best,0.013303694315254688,1.430511474609375e-06,0.135650634765625,0.0577392578125,0.01332562230527401,0.43516031901041663,whole,0.001648263219200527
0274,v,stage1_1005_best,0.16812746226787567,1.430511474609375e-06,0.135650634765625,0.0577392578125,0.17058886587619781,0.43516031901041663,whole,0.01464010444885212
0274,p,stage1_1005_best,0.027378689497709274,1.430511474609375e-06,0.135650634765625,0.0577392578125,0.027559369802474976,0.43516031901041663,whole,0.006599304352416813
0274,omega,stage1_1005_best,0.31686481833457947,1.430511474609375e-06,0.135650634765625,0.0577392578125,0.3202919363975525,0.43516031901041663,whole,0.010815710248255797
0274,temperature,stage1_1005_best,0.018035802990198135,1.430511474609375e-06,0.135650634765625,0.0577392578125,0.018529128283262253,0.43516031901041663,whole,0.02735255498921914
0274,__all__,stage1_1005_best,0.10874209553003311,1.430511474609375e-06,0.135650634765625,0.0577392578125,0.1100589856505394,0.43516031901041663,whole,0.012110214669741942
0274,u,stage1_1005_best,0.006909587886184454,1.430511474609375e-06,0.135650634765625,0.0577392578125,0.007063813507556915,0.43516031901041663,fluid,0.022320523873910272
0274,v,stage1_1005_best,0.005307971034198999,1.430511474609375e-06,0.135650634765625,0.0577392578125,0.0056174141354858875,0.43516031901041663,fluid,0.05829781272225513
0274,p,stage1_1005_best,0.013218658044934273,1.430511474609375e-06,0.135650634765625,0.0577392578125,0.013817769475281239,0.43516031901041663,fluid,0.04532316580929791
0274,omega,stage1_1005_best,0.019232528284192085,1.430511474609375e-06,0.135650634765625,0.0577392578125,0.019352314993739128,0.43516031901041663,fluid,0.006228339185415362
0274,temperature,stage1_1005_best,0.015239606611430645,1.430511474609375e-06,0.135650634765625,0.0577392578125,0.01549223531037569,0.43516031901041663,fluid,0.016577114185845083
0274,__all__,stage1_1005_best,0.011981670744717121,1.430511474609375e-06,0.135650634765625,0.0577392578125,0.012268709018826485,0.43516031901041663,fluid,0.023956448163618797
0274,u,stage1_1005_best,0.015023731626570225,1.430511474609375e-06,0.135650634765625,0.0577392578125,0.014201103709638119,0.43516031901041663,near_interface_fluid,-0.054755232413580074
0274,v,stage1_1005_best,0.015537693165242672,1.430511474609375e-06,0.135650634765625,0.0577392578125,0.017571697011590004,0.43516031901041663,near_interface_fluid,0.1309077109913159
0274,p,stage1_1005_best,0.041840892285108566,1.430511474609375e-06,0.135650634765625,0.0577392578125,0.04436081275343895,0.43516031901041663,near_interface_fluid,0.06022626026135773
0274,omega,stage1_1005_best,0.2850988209247589,1.430511474609375e-06,0.135650634765625,0.0577392578125,0.28561437129974365,0.43516031901041663,near_interface_fluid,0.0018083216665452338
0274,temperature,stage1_1005_best,0.009387661702930927,1.430511474609375e-06,0.135650634765625,0.0577392578125,0.010088480077683926,0.43516031901041663,near_interface_fluid,0.07465313481995153
0274,__all__,stage1_1005_best,0.07337775826454163,1.430511474609375e-06,0.135650634765625,0.0577392578125,0.07436728477478027,0.43516031901041663,near_interface_fluid,0.013485373955841016
0274,u,stage1_1005_best,0.00696263462305069,1.430511474609375e-06,0.135650634765625,0.0577392578125,0.007168369833379984,0.43516031901041663,far_field_fluid,0.02954847144329268
0274,v,stage1_1005_best,0.0027615667786449194,1.430511474609375e-06,0.135650634765625,0.0577392578125,0.002806709846481681,0.43516031901041663,far_field_fluid,0.01634690429572478
0274,p,stage1_1005_best,0.01170551311224699,1.430511474609375e-06,0.135650634765625,0.0577392578125,0.012272360734641552,0.43516031901041663,far_field_fluid,0.048425696247479555
0274,omega,stage1_1005_best,0.00784007553011179,1.430511474609375e-06,0.135650634765625,0.0577392578125,0.007905586622655392,0.43516031901041663,far_field_fluid,0.00835592620147473
0274,temperature,stage1_1005_best,0.018278377130627632,1.430511474609375e-06,0.135650634765625,0.0577392578125,0.018441421911120415,0.43516031901041663,far_field_fluid,0.00892009062552831
0274,__all__,stage1_1005_best,0.009509633295238018,1.430511474609375e-06,0.135650634765625,0.0577392578125,0.009718888439238071,0.43516031901041663,far_field_fluid,0.022004543971725875
0275,u,stage1_1005_best,0.02029341459274292,9.5367431640625e-07,0.07018661499023438,0.03218587239583337,0.020212989300489426,0.48524983723958337,whole,-0.003963122710864783
