run,epoch,trailing50_val_field_mse,trailing50_val_temperature_mse
run1000,500,0.024780284147709608,0.01642428827472031
run1000,1000,0.01090229395776987,0.008621603599749506
run1000,2500,0.0032472583698108792,0.003736445854883641
run1000,5000,0.0022566431434825063,0.002795838809106499
run1304,500,0.020296000875532627,0.01496523036621511
run1304,1000,0.009468467673286796,0.008485639235004783
run1304,2500,0.00414337229449302,0.004124044207856059
run1304,5000,0.0025973957090172917,0.002617078775074333
run1401,500,0.02298699412494898,0.015089238295331597
run1401,1000,0.011216805083677173,0.008380246348679066
run1401,2500,0.0034105057711713016,0.0037402561865746975
run1401,5000,0.0021983447659295052,0.002289453288540244
