run,checkpoint,registered_capacity_K,Kq_definition,Kq_min,Kq_max,Kq_mean,Kq_case_mean_min,Kq_case_mean_max,Kq_case_mean_mean,case_count,occupied_registered_groups_mean,active_modules_min,active_modules_max,active_modules_mean,environment_source_support_RE_mean,module_source_support_RM_mean,query_population_note
Run 1404,best-field e4890,6,positive query softmax support; architectural dense support,6,6,6.0,,,,90,6,,,,,,K=6 and softmax imply positive support on all six groups; support count is not adaptively selected.
Run 1501,best-field e4689,12,exact positive support count in query_assignment,1,7,3.3140299479166666,3.02734375,3.73828125,3.3140299479166666,90,12.0,3.0,10.0,5.833333333333333,0.6126316211841725,0.7984280443948413,"92,160 query assignments; Q=1024 deterministic queries per case across the 90-case test split."
Run 1502,best-field e4794,12,exact positive support count in query_assignment,1,7,3.371940104166667,3.0068359375,3.779296875,3.371940104166667,90,12.0,3.0,10.0,5.833333333333333,0.4084732620804398,0.8349189298115078,"92,160 query assignments; Q=1024 deterministic queries per case across the 90-case test split."
