run,checkpoint,case_id,mean_Kq_fullgrid_Q8192,active_modules,global_field_fluid_norm_l2_Q8192
Run 1501,best-field e4689,0273,3.56201171875,3,0.016119520051375756
Run 1501,best-field e4689,0274,3.43359375,3,0.01710360640182254
Run 1501,best-field e4689,0275,3.7164306640625,3,0.016673724804293712
Run 1501,best-field e4689,0276,3.465576171875,3,0.01691682043951593
Run 1501,best-field e4689,0277,3.6708984375,3,0.027379269283617752
Run 1501,best-field e4689,0278,3.3408203125,3,0.02936919974585223
Run 1501,best-field e4689,0279,3.636962890625,3,0.02730284869955508
Run 1501,best-field e4689,0280,3.2423095703125,3,0.019420248452207543
Run 1501,best-field e4689,0281,3.1429443359375,3,0.025046234124808144
Run 1501,best-field e4689,0282,3.5791015625,3,0.037727297375665325
Run 1501,best-field e4689,0283,3.4534912109375,5,0.0743711770255495
Run 1501,best-field e4689,0284,3.4564208984375,5,0.05948088266784858
Run 1501,best-field e4689,0285,3.3701171875,5,0.05436382585938435
Run 1501,best-field e4689,0286,3.237548828125,5,0.06843422195248719
Run 1501,best-field e4689,0287,3.3363037109375,5,0.06180317756059197
Run 1501,best-field e4689,0288,3.2913818359375,5,0.04021218345806658
Run 1501,best-field e4689,0289,3.5115966796875,5,0.0460268600810323
Run 1501,best-field e4689,0290,3.196044921875,5,0.05408904091431579
Run 1501,best-field e4689,0291,3.38330078125,5,0.03654442261625401
Run 1501,best-field e4689,0292,3.4661865234375,5,0.04592732889916091
Run 1501,best-field e4689,0293,3.276611328125,7,0.050148250741606906
Run 1501,best-field e4689,0294,3.1201171875,7,0.04354529935832235
Run 1501,best-field e4689,0295,3.3756103515625,7,0.0714093218714754
Run 1501,best-field e4689,0296,3.0906982421875,7,0.03609353933706834
Run 1501,best-field e4689,0297,3.1915283203125,7,0.07198865981785141
Run 1501,best-field e4689,0298,3.140869140625,7,0.07342435591417837
Run 1501,best-field e4689,0299,3.2125244140625,7,0.05445126287765244
Run 1501,best-field e4689,0300,3.2965087890625,7,0.05792592791010603
Run 1501,best-field e4689,0301,3.431640625,7,0.046537036634967936
Run 1501,best-field e4689,0302,3.1456298828125,7,0.058988275699624455
Run 1501,best-field e4689,0633,3.5482177734375,3,0.016119040845308328
Run 1501,best-field e4689,0634,3.4307861328125,3,0.016448869596876296
Run 1501,best-field e4689,0635,3.704833984375,3,0.014721133574947825
Run 1501,best-field e4689,0636,3.4476318359375,3,0.016864583057570784
Run 1501,best-field e4689,0637,3.6968994140625,3,0.024825172537820656
Run 1501,best-field e4689,0638,3.3427734375,3,0.01935893394182625
Run 1501,best-field e4689,0639,3.6239013671875,3,0.016149079968220393
Run 1501,best-field e4689,0640,3.27880859375,3,0.017275511957349325
Run 1501,best-field e4689,0641,3.2088623046875,3,0.022202082191230484
Run 1501,best-field e4689,0642,3.6134033203125,3,0.01528154295951108
Run 1501,best-field e4689,0643,3.676025390625,3,0.01868451739688525
Run 1501,best-field e4689,0644,3.5198974609375,3,0.020080861323440304
Run 1501,best-field e4689,0645,3.3369140625,3,0.01720052723901282
Run 1501,best-field e4689,0646,3.3314208984375,3,0.014511030494084642
Run 1501,best-field e4689,0647,3.71240234375,3,0.021450058396489963
Run 1501,best-field e4689,0648,3.31591796875,5,0.02198791926309087
Run 1501,best-field e4689,0649,3.5338134765625,5,0.019771299898389837
Run 1501,best-field e4689,0650,3.2384033203125,5,0.02003781303920707
Run 1501,best-field e4689,0651,3.37548828125,5,0.01840454899625281
Run 1501,best-field e4689,0652,3.5035400390625,5,0.027131918257887147
Run 1501,best-field e4689,0653,3.29931640625,5,0.018656606407059892
Run 1501,best-field e4689,0654,3.1298828125,5,0.020581684596632517
Run 1501,best-field e4689,0655,3.3858642578125,5,0.019318478642588285
Run 1501,best-field e4689,0656,3.1241455078125,5,0.017438900990220475
Run 1501,best-field e4689,0657,3.177734375,5,0.01688055544426088
Run 1501,best-field e4689,0658,3.20458984375,5,0.020165136702558335
Run 1501,best-field e4689,0659,3.5404052734375,5,0.01922965167926911
Run 1501,best-field e4689,0660,3.246826171875,5,0.028090194766129072
Run 1501,best-field e4689,0661,3.575927734375,5,0.017238077102608065
Run 1501,best-field e4689,0662,3.4078369140625,5,0.025204136791318416
Run 1501,best-field e4689,0663,3.1962890625,7,0.019685673665392787
Run 1501,best-field e4689,0664,3.2254638671875,7,0.028192002629245087
Run 1501,best-field e4689,0665,3.052978515625,7,0.01856488393794175
Run 1501,best-field e4689,0666,3.2823486328125,7,0.023069440723416414
Run 1501,best-field e4689,0667,3.05419921875,7,0.019744675044360442
Run 1501,best-field e4689,0668,3.2279052734375,7,0.02981518876693231
Run 1501,best-field e4689,0669,3.26123046875,7,0.027083256212722565
Run 1501,best-field e4689,0670,3.3992919921875,7,0.023056472777824286
Run 1501,best-field e4689,0671,3.249755859375,7,0.026550876410994236
Run 1501,best-field e4689,0672,3.3583984375,7,0.019821479401782763
Run 1501,best-field e4689,0673,3.077880859375,7,0.02093926505753497
Run 1501,best-field e4689,0674,3.1279296875,7,0.01921260730582627
Run 1501,best-field e4689,0675,3.2359619140625,7,0.026854538687325572
Run 1501,best-field e4689,0676,3.182373046875,7,0.02356526116155345
Run 1501,best-field e4689,0677,3.209228515625,7,0.022165249885092914
Run 1501,best-field e4689,0678,3.1429443359375,10,0.02352510037756022
Run 1501,best-field e4689,0679,3.0791015625,10,0.02699903105578848
Run 1501,best-field e4689,0680,3.1072998046875,10,0.028422321550425657
Run 1501,best-field e4689,0681,3.0201416015625,10,0.021745331981573333
Run 1501,best-field e4689,0682,3.1158447265625,10,0.021824867210942137
Run 1501,best-field e4689,0683,3.0777587890625,10,0.021602174541967063
Run 1501,best-field e4689,0684,3.104248046875,10,0.02149799379099561
Run 1501,best-field e4689,0685,3.1611328125,10,0.022768975906859737
Run 1501,best-field e4689,0686,3.0960693359375,10,0.02301393311003438
Run 1501,best-field e4689,0687,3.1302490234375,10,0.02120160184105384
Run 1501,best-field e4689,0688,3.056396484375,10,0.021039439642368107
Run 1501,best-field e4689,0689,3.2086181640625,10,0.020242974705559077
Run 1501,best-field e4689,0690,3.0999755859375,10,0.020956997116906163
Run 1501,best-field e4689,0691,3.16162109375,10,0.02113906646344914
Run 1501,best-field e4689,0692,3.13916015625,10,0.02278032834131395
Run 1502,best-field e4794,0273,3.55322265625,3,0.016235986291434856
Run 1502,best-field e4794,0274,3.3399658203125,3,0.019074283193311205
Run 1502,best-field e4794,0275,3.725341796875,3,0.016434216560925637
Run 1502,best-field e4794,0276,3.5931396484375,3,0.018312540028944318
Run 1502,best-field e4794,0277,3.6962890625,3,0.02188766491173341
Run 1502,best-field e4794,0278,3.5462646484375,3,0.022675310484196937
Run 1502,best-field e4794,0279,3.5155029296875,3,0.024322925031453644
Run 1502,best-field e4794,0280,3.6197509765625,3,0.020631078029975377
Run 1502,best-field e4794,0281,3.64794921875,3,0.024089973109259696
Run 1502,best-field e4794,0282,3.5731201171875,3,0.019668762007096448
Run 1502,best-field e4794,0283,3.3995361328125,5,0.060556594844507025
Run 1502,best-field e4794,0284,3.384521484375,5,0.05942132906437716
Run 1502,best-field e4794,0285,3.6104736328125,5,0.053647562675633
Run 1502,best-field e4794,0286,3.4364013671875,5,0.041053695133970086
Run 1502,best-field e4794,0287,3.4212646484375,5,0.06104545239768867
Run 1502,best-field e4794,0288,3.3955078125,5,0.03768998578048567
Run 1502,best-field e4794,0289,3.4696044921875,5,0.0406943432322391
Run 1502,best-field e4794,0290,3.3192138671875,5,0.03492508310458737
Run 1502,best-field e4794,0291,3.3968505859375,5,0.033637036985562745
Run 1502,best-field e4794,0292,3.7132568359375,5,0.04130016053799264
Run 1502,best-field e4794,0293,3.4501953125,7,0.048020412733595336
Run 1502,best-field e4794,0294,3.3602294921875,7,0.04641788421060394
Run 1502,best-field e4794,0295,3.4100341796875,7,0.05825632085218809
Run 1502,best-field e4794,0296,3.0960693359375,7,0.041788908174152
Run 1502,best-field e4794,0297,3.26513671875,7,0.06928592787370233
Run 1502,best-field e4794,0298,3.23779296875,7,0.06782829754047799
Run 1502,best-field e4794,0299,3.2080078125,7,0.056952476852865606
Run 1502,best-field e4794,0300,3.23828125,7,0.054125182724385705
Run 1502,best-field e4794,0301,3.3345947265625,7,0.044559315008123296
Run 1502,best-field e4794,0302,3.1138916015625,7,0.047931560360201325
Run 1502,best-field e4794,0633,3.55029296875,3,0.01626861611560308
Run 1502,best-field e4794,0634,3.343017578125,3,0.016830864105847977
Run 1502,best-field e4794,0635,3.6961669921875,3,0.015907193220295438
Run 1502,best-field e4794,0636,3.6053466796875,3,0.01545285744306091
Run 1502,best-field e4794,0637,3.70263671875,3,0.01793247788326597
Run 1502,best-field e4794,0638,3.5103759765625,3,0.017900086838942727
Run 1502,best-field e4794,0639,3.5030517578125,3,0.016832431399755123
Run 1502,best-field e4794,0640,3.6246337890625,3,0.01705246665432858
Run 1502,best-field e4794,0641,3.60009765625,3,0.01962293782842897
Run 1502,best-field e4794,0642,3.572509765625,3,0.015346095644027127
Run 1502,best-field e4794,0643,3.5545654296875,3,0.020406785246826934
Run 1502,best-field e4794,0644,3.3717041015625,3,0.02343121018023451
Run 1502,best-field e4794,0645,3.4788818359375,3,0.016972872724268097
Run 1502,best-field e4794,0646,3.7587890625,3,0.014039842885827864
Run 1502,best-field e4794,0647,3.5257568359375,3,0.016447756017965953
Run 1502,best-field e4794,0648,3.408203125,5,0.02001084656372865
Run 1502,best-field e4794,0649,3.46337890625,5,0.018882198649288053
Run 1502,best-field e4794,0650,3.40380859375,5,0.017846167874380807
Run 1502,best-field e4794,0651,3.463134765625,5,0.01851790734021117
Run 1502,best-field e4794,0652,3.732666015625,5,0.03217237254533996
Run 1502,best-field e4794,0653,3.456298828125,5,0.01907294716508381
Run 1502,best-field e4794,0654,3.4298095703125,5,0.020407134725161317
Run 1502,best-field e4794,0655,3.551025390625,5,0.02375496622646293
Run 1502,best-field e4794,0656,3.42724609375,5,0.018453304585504007
Run 1502,best-field e4794,0657,3.3817138671875,5,0.01840184588959352
Run 1502,best-field e4794,0658,3.2889404296875,5,0.01962798094035788
Run 1502,best-field e4794,0659,3.501220703125,5,0.027932377379564808
Run 1502,best-field e4794,0660,3.4210205078125,5,0.024226021796499436
Run 1502,best-field e4794,0661,3.498291015625,5,0.017645321916354418
Run 1502,best-field e4794,0662,3.3363037109375,5,0.028753409568725297
Run 1502,best-field e4794,0663,3.3294677734375,7,0.018972367461795012
Run 1502,best-field e4794,0664,3.3011474609375,7,0.025560596275784477
Run 1502,best-field e4794,0665,3.129638671875,7,0.020478707698133463
Run 1502,best-field e4794,0666,3.272216796875,7,0.025805744457150476
Run 1502,best-field e4794,0667,3.102294921875,7,0.01911789661648189
Run 1502,best-field e4794,0668,3.1798095703125,7,0.03570785092644225
Run 1502,best-field e4794,0669,3.4705810546875,7,0.024927486584674422
Run 1502,best-field e4794,0670,3.406005859375,7,0.01966103772957956
Run 1502,best-field e4794,0671,3.2327880859375,7,0.018956630601498173
Run 1502,best-field e4794,0672,3.25048828125,7,0.036316479291221886
Run 1502,best-field e4794,0673,3.174072265625,7,0.021230889179797457
Run 1502,best-field e4794,0674,3.2535400390625,7,0.032747382285872005
Run 1502,best-field e4794,0675,3.3988037109375,7,0.022205641099751438
Run 1502,best-field e4794,0676,3.123779296875,7,0.025619454156590456
Run 1502,best-field e4794,0677,3.271240234375,7,0.02061574123144496
Run 1502,best-field e4794,0678,3.12548828125,10,0.02262913347673427
Run 1502,best-field e4794,0679,3.093994140625,10,0.029040915101214405
Run 1502,best-field e4794,0680,3.1072998046875,10,0.02984079786272484
Run 1502,best-field e4794,0681,3.01171875,10,0.027625892542459833
Run 1502,best-field e4794,0682,3.1021728515625,10,0.022420086189897628
Run 1502,best-field e4794,0683,3.101806640625,10,0.02281214525433598
Run 1502,best-field e4794,0684,3.0631103515625,10,0.01968190937677058
Run 1502,best-field e4794,0685,3.1075439453125,10,0.023793054623990954
Run 1502,best-field e4794,0686,3.0089111328125,10,0.022060976126564862
Run 1502,best-field e4794,0687,3.025146484375,10,0.021447425422397776
Run 1502,best-field e4794,0688,3.017578125,10,0.022395379819778655
Run 1502,best-field e4794,0689,3.25634765625,10,0.021072005712463836
Run 1502,best-field e4794,0690,3.1279296875,10,0.029702754023498416
Run 1502,best-field e4794,0691,3.1004638671875,10,0.020444963379978396
Run 1502,best-field e4794,0692,3.052490234375,10,0.024330723899596507
