run,checkpoint,case_id,query_count,Kq_min,Kq_max,Kq_mean,Kq_q10,Kq_q90,Kq_histogram
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0290,8192,2,6,3.196044921875,2.0,4.0,"{""2"": 1208, ""3"": 4519, ""4"": 2122, ""5"": 337, ""6"": 6}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0291,8192,2,6,3.38330078125,3.0,4.0,"{""2"": 708, ""3"": 4185, ""4"": 2818, ""5"": 413, ""6"": 68}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0292,8192,2,6,3.4661865234375,2.0,5.0,"{""2"": 1017, ""3"": 3290, ""4"": 2967, ""5"": 885, ""6"": 33}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0293,8192,2,6,3.276611328125,2.0,4.0,"{""2"": 1250, ""3"": 3869, ""4"": 2637, ""5"": 429, ""6"": 7}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0294,8192,2,6,3.1201171875,2.0,4.0,"{""2"": 1752, ""3"": 4160, ""4"": 1904, ""5"": 296, ""6"": 80}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0295,8192,2,8,3.3756103515625,2.0,4.0,"{""2"": 1008, ""3"": 3776, ""4"": 2902, ""5"": 381, ""6"": 87, ""7"": 30, ""8"": 8}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0296,8192,2,6,3.0906982421875,2.0,4.0,"{""2"": 1828, ""3"": 4188, ""4"": 1849, ""5"": 259, ""6"": 68}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0297,8192,2,6,3.1915283203125,2.0,4.0,"{""2"": 1421, ""3"": 4113, ""4"": 2354, ""5"": 276, ""6"": 28}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0298,8192,2,6,3.140869140625,2.0,4.0,"{""2"": 1670, ""3"": 4008, ""4"": 2238, ""5"": 242, ""6"": 34}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0299,8192,2,6,3.2125244140625,2.0,4.0,"{""2"": 1237, ""3"": 4416, ""4"": 2133, ""5"": 373, ""6"": 33}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0300,8192,2,6,3.2965087890625,2.0,4.0,"{""2"": 1159, ""3"": 3962, ""4"": 2576, ""5"": 473, ""6"": 22}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0301,8192,2,6,3.431640625,3.0,4.0,"{""2"": 249, ""3"": 4775, ""4"": 2597, ""5"": 525, ""6"": 46}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0302,8192,2,6,3.1456298828125,2.0,4.0,"{""2"": 1568, ""3"": 4313, ""4"": 1923, ""5"": 326, ""6"": 62}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0633,8192,2,6,3.5482177734375,2.0,5.0,"{""2"": 848, ""3"": 3141, ""4"": 3122, ""5"": 1026, ""6"": 55}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0634,8192,2,6,3.4307861328125,2.0,5.0,"{""2"": 940, ""3"": 3696, ""4"": 2722, ""5"": 755, ""6"": 79}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0635,8192,1,7,3.704833984375,3.0,5.0,"{""1"": 177, ""2"": 541, ""3"": 2974, ""4"": 2797, ""5"": 1241, ""6"": 458, ""7"": 4}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0636,8192,2,6,3.4476318359375,3.0,5.0,"{""2"": 678, ""3"": 4193, ""4"": 2430, ""5"": 758, ""6"": 133}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0637,8192,2,7,3.6968994140625,3.0,5.0,"{""2"": 807, ""3"": 2381, ""4"": 3542, ""5"": 1414, ""6"": 46, ""7"": 2}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0638,8192,2,6,3.3427734375,2.0,4.0,"{""2"": 1128, ""3"": 3861, ""4"": 2536, ""5"": 601, ""6"": 66}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0639,8192,2,6,3.6239013671875,3.0,5.0,"{""2"": 254, ""3"": 3574, ""4"": 3482, ""5"": 763, ""6"": 119}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0640,8192,1,6,3.27880859375,2.0,5.0,"{""1"": 73, ""2"": 1783, ""3"": 3036, ""4"": 2436, ""5"": 815, ""6"": 49}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0641,8192,2,6,3.2088623046875,2.0,4.0,"{""2"": 1967, ""3"": 3214, ""4"": 2353, ""5"": 649, ""6"": 9}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0642,8192,2,7,3.6134033203125,3.0,5.0,"{""2"": 247, ""3"": 3885, ""4"": 3134, ""5"": 662, ""6"": 242, ""7"": 22}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0643,8192,2,8,3.676025390625,3.0,5.0,"{""2"": 484, ""3"": 3112, ""4"": 3404, ""5"": 991, ""6"": 169, ""7"": 31, ""8"": 1}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0644,8192,1,6,3.5198974609375,2.0,5.0,"{""1"": 591, ""2"": 827, ""3"": 2101, ""4"": 3291, ""5"": 1169, ""6"": 213}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0645,8192,1,6,3.3369140625,2.0,4.0,"{""1"": 181, ""2"": 857, ""3"": 3989, ""4"": 2386, ""5"": 744, ""6"": 35}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0646,8192,2,7,3.3314208984375,2.0,4.0,"{""2"": 1669, ""3"": 3022, ""4"": 2807, ""5"": 506, ""6"": 187, ""7"": 1}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0647,8192,2,6,3.71240234375,3.0,5.0,"{""2"": 10, ""3"": 3418, ""4"": 3749, ""5"": 948, ""6"": 67}"
