candidate,baseline,metric,difference_candidate_minus_baseline,ci95_low,ci95_high,bootstrap_replicates,seed,resampling_unit
Run1502,Run1501,case_mean_fluid_relative_l2,-0.0010152562493313106,-0.0022723104451051255,0.00017071799946466535,10000,20260923,paired case_id
Run1502,Run1501,pooled_fluid_relative_l2,-0.0016829928463305,-0.003263313418989325,-0.00016210222776153333,10000,20260923,paired case_id
Run1501,Run1804,case_mean_fluid_relative_l2,0.00335263227511526,0.0019232792288373373,0.004861737535027931,10000,20260923,paired case_id
Run1501,Run1804,pooled_fluid_relative_l2,0.004248615458555923,0.002301685159441924,0.00616149538736485,10000,20260923,paired case_id
Run1502,Run1804,case_mean_fluid_relative_l2,0.00233737602578395,0.0013851912499655795,0.0033789595871559427,10000,20260923,paired case_id
Run1502,Run1804,pooled_fluid_relative_l2,0.002565622612225423,0.0012847565449072128,0.0038942109452919757,10000,20260923,paired case_id
