run,model_label,num_cases,checkpoint,checkpoint_epoch,fluid_global_pooled_relative_l2,fluid_global_case_mean,fluid_global_case_median,fluid_global_case_p95,fluid_global_pooled_sse,fluid_global_pooled_target_sse,fluid_global_pooled_num_values,fluid_near_interface_pooled_relative_l2,fluid_near_interface_case_mean,fluid_near_interface_case_median,fluid_near_interface_case_p95,fluid_near_interface_pooled_sse,fluid_near_interface_pooled_target_sse,fluid_near_interface_pooled_num_values,fluid_far_pooled_relative_l2,fluid_far_case_mean,fluid_far_case_median,fluid_far_case_p95,fluid_far_pooled_sse,fluid_far_pooled_target_sse,fluid_far_pooled_num_values,u_fluid_pooled_relative_l2,u_fluid_case_mean,u_fluid_case_median,u_fluid_case_p95,u_fluid_pooled_sse,u_fluid_pooled_target_sse,u_fluid_pooled_num_values,v_fluid_pooled_relative_l2,v_fluid_case_mean,v_fluid_case_median,v_fluid_case_p95,v_fluid_pooled_sse,v_fluid_pooled_target_sse,v_fluid_pooled_num_values,pressure_fluid_pooled_relative_l2,pressure_fluid_case_mean,pressure_fluid_case_median,pressure_fluid_case_p95,pressure_fluid_pooled_sse,pressure_fluid_pooled_target_sse,pressure_fluid_pooled_num_values,vorticity_fluid_pooled_relative_l2,vorticity_fluid_case_mean,vorticity_fluid_case_median,vorticity_fluid_case_p95,vorticity_fluid_pooled_sse,vorticity_fluid_pooled_target_sse,vorticity_fluid_pooled_num_values,temperature_fluid_pooled_relative_l2,temperature_fluid_case_mean,temperature_fluid_case_median,temperature_fluid_case_p95,temperature_fluid_pooled_sse,temperature_fluid_pooled_target_sse,temperature_fluid_pooled_num_values,temperature_internal_pooled_relative_l2,temperature_internal_case_mean,temperature_internal_case_median,temperature_internal_case_p95,temperature_internal_pooled_sse,temperature_internal_pooled_target_sse,temperature_internal_pooled_num_values,temperature_surface_pooled_relative_l2,temperature_surface_case_mean,temperature_surface_case_median,temperature_surface_case_p95,temperature_surface_pooled_sse,temperature_surface_pooled_target_sse,temperature_surface_pooled_num_values,heat_flux_interface_pooled_relative_l2,heat_flux_interface_case_mean,heat_flux_interface_case_median,heat_flux_interface_case_p95,heat_flux_interface_pooled_sse,heat_flux_interface_pooled_target_sse,heat_flux_interface_pooled_num_values,port_temperature_final_pooled_relative_l2,port_temperature_final_case_mean,port_temperature_final_case_median,port_temperature_final_case_p95,port_temperature_final_pooled_sse,port_temperature_final_pooled_target_sse,port_temperature_final_pooled_num_values,port_effective_h_final_pooled_relative_l2,port_effective_h_final_case_mean,port_effective_h_final_case_median,port_effective_h_final_case_p95,port_effective_h_final_pooled_sse,port_effective_h_final_pooled_target_sse,port_effective_h_final_pooled_num_values
Run1404,Run1404_best_field,90,Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1404_20260916_092508_routing_only_pairwise/best_by_field_mse_model.pt,4890,0.034600550178466256,0.03243951056609014,0.028110772347723238,0.0602782458209092,3875.694181846964,3237304.060521763,3496800,0.03336708382688294,0.02736369570831288,0.022132979467932003,0.06472053299877807,1232.4673619730022,1106977.8280345935,266425,0.03838542074387137,0.03782424466143665,0.035596246296758706,0.05686487082058756,1595.4755964236622,1082823.2077321059,2143270,0.01317450160723227,0.013159285452418278,0.01248688453340143,0.017610050058623202,79.33525832138878,457085.9274017165,699360,0.019697026911658103,0.01853970989749484,0.01653582882283334,0.03178715076425509,0.18360027692209954,473.22968051936925,699360,0.03385290991571465,0.032556569435565556,0.029499634240371123,0.05070469064857289,8.712540992157432,7602.436885189397,699360,0.040635969949717125,0.035944302717205404,0.030401324271467488,0.07711256731257933,546.032996842838,330672.1559780723,699360,0.03878923704642746,0.039929991139093485,0.03444272746656407,0.07053877869648723,70305.31479190226,46726761.4870491,699360,0.033768814127301004,0.02885142845270739,0.023779747325750146,0.052777781956155775,430317.9067660623,377361682.4067689,1625400,0.04482183375928448,0.04372660776732702,0.040421753005648764,0.0757135588137855,11160.182923854238,5555102.440369254,33600,0.13783969403160287,0.13284677157660182,0.126491011112053,0.19427132144905565,169410.80152019672,8916460.63102565,33600,0.07024526677354294,0.08392714756293564,0.07700243952944652,0.1300869555236169,24419.621197494936,4948855.6966221,33600,0.050014332805495526,0.0432200412734707,0.041926064135198185,0.06862380350735646,18446.784145036774,7374485.169577932,33600
Run1804,Run1804_best_field,90,Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1804_20260905_081349_dense_pairwise_field_adaptation/best_by_field_mse_model.pt,4738,0.028960247602951055,0.025616419924207504,0.02074823893801507,0.052811668263649386,2715.113776068329,3237304.060521763,3496800,0.03504271410591764,0.02759142764809846,0.020270380219890954,0.06931406826152023,1359.3597087913774,1106977.8280345935,266425,0.025368926492890565,0.023845892099853834,0.0202963591314269,0.046708449717244895,696.8859928104004,1082823.2077321059,2143270,0.007165413450478293,0.007183832940823438,0.0068025106326942055,0.00999124333451106,23.468231295215173,457085.9274017165,699360,0.012871667319903829,0.012651475488958104,0.01231929260429604,0.0167578797798601,0.07840460809510795,473.22968051936925,699360,0.02321687954219235,0.021293935327509488,0.01871206277338547,0.03863315655757206,4.097892105516041,7602.436885189397,699360,0.04203442440779318,0.03495986077194803,0.027266608952823554,0.08546823374353679,584.2622632290344,330672.1559780723,699360,0.03078391330666326,0.029858260642743793,0.024125637736135002,0.06136355114553517,44280.58367761323,46726761.4870491,699360,0.02680477187593491,0.02520007445343795,0.022352549646704613,0.0421156522375862,271132.7821244885,377361682.4067689,1625400,0.0389849376812683,0.04019126832115763,0.038547662477431764,0.052358544997013444,8442.785599670427,5555102.440369254,33600,0.10614735049449688,0.0996613310466822,0.09097116157732521,0.17021553166279513,100464.08036112385,8916460.63102565,33600,0.06698629626409515,0.08152013915080501,0.07512435885709984,0.1282083353765696,22206.32656475329,4948855.6966221,33600,0.04812706202760107,0.04134340750634843,0.03866058454134292,0.07053045255839263,17080.88652565574,7374485.169577932,33600
Run1501,Run1501_best_field_e4689,90,Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,4689,0.03320886306150698,0.02896905219932277,0.022076584574091892,0.06545025197613433,3570.19145899258,3237304.060521763,3496800,0.040506339622817536,0.030078122833083185,0.019298293272542205,0.08889983543149646,1816.2888704977522,1106977.8280345935,266425,0.02899157288143366,0.02785407570953199,0.025833583314005815,0.046405554138902315,910.1251399864677,1082823.2077321059,2143270,0.007992063907568282,0.007858494339705379,0.007515949696115767,0.012182748332068253,29.19548852299046,457085.9274017165,699360,0.016099164632080498,0.015172442398010681,0.013972559478925041,0.025349562373543546,0.12265313648488818,473.22968051936925,699360,0.0258415701165444,0.024924614775562647,0.02248309319671778,0.0409001220579653,5.07680658990215,7602.436885189397,699360,0.04843764758103236,0.03806258281534668,0.026101331282897072,0.10196627042482694,775.8248982399983,330672.1559780723,699360,0.034990105378678915,0.03532229396606668,0.027463281577265505,0.07219809641784598,57207.92334361685,46726761.4870491,699360,0.0292171290216285,0.02663349982984358,0.0225954540494349,0.05053173963035072,322131.2636534125,377361682.4067689,1625400,0.04100850316570711,0.041253421290297104,0.038172299241240125,0.06504662417444461,9342.000952354658,5555102.440369254,33600,0.10050791129462476,0.09281279750224297,0.08359736464688441,0.16299113459696818,90072.66073674493,8916460.63102565,33600,0.0688184294945215,0.08345006340581086,0.07939588509400819,0.1331181467606204,23437.662984950606,4948855.6966221,33600,0.045950957914663866,0.04019496782326658,0.03761798785559539,0.06776663810673547,15571.155623342233,7374485.169577932,33600
Run1502,Run1502_best_field_e4794,90,Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1502_20260923_004751_sparse_incidence_environment_sparsemax/best_by_field_mse_model.pt,4794,0.03152587021517648,0.027953795949991457,0.022407733004838143,0.05889707536889208,3217.4933550929964,3237304.060521763,3496800,0.03687180897351588,0.02813024077281158,0.01845738841494164,0.06742722425318234,1504.969895297533,1106977.8280345935,266425,0.02902511163783701,0.027624677229939915,0.025155387087500328,0.052198018317053035,912.2321054504798,1082823.2077321059,2143270,0.007384101473181207,0.007309628839525141,0.006844214769970058,0.010697439208378408,24.922589424444833,457085.9274017165,699360,0.016525818247949246,0.015610476757128029,0.014434630196176853,0.024200330787861095,0.12924028868829424,473.22968051936925,699360,0.025546761596046557,0.02478865067001742,0.022506729149834405,0.03701578455541188,4.961631814651513,7602.436885189397,699360,0.04387296666753212,0.03560988372554861,0.025157856688437712,0.08662842381259092,636.4900682230528,330672.1559780723,699360,0.03476238017944987,0.03465878637518305,0.028112461391285586,0.06962684556440307,56465.696835577706,46726761.4870491,699360,0.02694070458117437,0.026307238427235043,0.022469060876100604,0.05072357496717332,273889.6990317132,377361682.4067689,1625400,0.03948228283520743,0.041297837417949866,0.0388385469582693,0.061769612307547184,8659.575093756603,5555102.440369254,33600,0.10749929020486595,0.10129650189419341,0.09292964380522961,0.1664246199188983,103039.48746680307,8916460.63102565,33600,0.06857094864866821,0.08342440462288224,0.07651518343506505,0.13358367020989909,23269.39575708887,4948855.6966221,33600,0.046960692726709115,0.04050016563704475,0.038212459016417115,0.06853394811608846,16263.001268662116,7374485.169577932,33600
