run,model_label,case_id,split,dataset_index,case_order,global_field_fluid_norm_l2,global_field_fluid_norm_sse,global_field_fluid_norm_target_sse,global_field_fluid_norm_num_values,global_field_near_interface_norm_l2,global_field_far_fluid_norm_l2,global_field_near_interface_norm_sse,global_field_near_interface_norm_target_sse,global_field_near_interface_norm_num_values,global_field_far_fluid_norm_sse,global_field_far_fluid_norm_target_sse,global_field_far_fluid_norm_num_values,field_u_fluid_physical_relative_l2,field_u_fluid_physical_sse,field_u_fluid_physical_target_sse,field_u_fluid_physical_num_values,field_v_fluid_physical_relative_l2,field_v_fluid_physical_sse,field_v_fluid_physical_target_sse,field_v_fluid_physical_num_values,field_p_fluid_physical_relative_l2,field_p_fluid_physical_sse,field_p_fluid_physical_target_sse,field_p_fluid_physical_num_values,field_omega_fluid_physical_relative_l2,field_omega_fluid_physical_sse,field_omega_fluid_physical_target_sse,field_omega_fluid_physical_num_values,field_temperature_fluid_physical_relative_l2,field_temperature_fluid_physical_sse,field_temperature_fluid_physical_target_sse,field_temperature_fluid_physical_num_values,internal_temperature_physical_relative_l2,internal_temperature_physical_sse,internal_temperature_physical_target_sse,internal_temperature_physical_num_values,interface_t_surface_physical_relative_l2,interface_t_surface_physical_sse,interface_t_surface_physical_target_sse,interface_t_surface_physical_num_values,interface_q_normal_physical_relative_l2,interface_q_normal_physical_sse,interface_q_normal_physical_target_sse,interface_q_normal_physical_num_values,port_t_env_final_physical_relative_l2,port_t_env_final_physical_sse,port_t_env_final_physical_target_sse,port_t_env_final_physical_num_values,port_h_effective_final_physical_relative_l2,port_h_effective_final_physical_sse,port_h_effective_final_physical_target_sse,port_h_effective_final_physical_num_values
Run1404,Run1404_best_field,0273,test,0,0,0.024232094669635707,16.16988351954091,27537.529627219654,39870.0,0.013403732983224,0.030255091380097538,1.2817778895928635,7134.462187523515,1530.0,13.041738246638653,14247.495927952314,31295.0,0.010683254182119285,0.6756181193331832,5919.624587127943,7974.0,0.013317573265462016,0.0005451763788364437,3.0738795188038472,7974.0,0.026876072252962423,0.03926647043494104,54.36135401305505,7974.0,0.023003535182043088,1.7352890267007421,3279.3113599931303,7974.0,0.03466952844048229,286.738347067938,238555.7605239939,7974.0,0.022261243941239527,578.5400325942958,1167439.9699501886,9288.0,0.04524369799894498,30.65825231365504,14977.219837259432,192.0,0.1036885411219048,644.5295762463077,59948.91439543975,192.0,0.1072315078177062,150.02445928814177,13047.197743123425,192.0,0.03014375586652427,38.290317065886484,42139.97125205793,192.0
Run1404,Run1404_best_field,0274,test,1,1,0.03339332137220688,29.89898281495524,26812.49196699395,39870.0,0.01562893186442963,0.04242219917299028,1.392475237616872,5700.709167099896,1525.0,25.56360922795653,14204.822553187225,30000.0,0.011765308942015584,0.9189323531240017,6638.605643079826,7974.0,0.014446325170653364,0.0005317345353116924,2.5478866057872613,7974.0,0.06618377752043457,0.234022839507906,53.42630531711384,7974.0,0.02240358812335611,1.5930625264171312,3173.9323232513148,7974.0,0.03785778431329649,206.40196847483054,144013.58103962138,7974.0,0.028658290540809407,550.2238543080816,669944.5403294009,9288.0,0.03986694057457462,12.777171167554148,8039.1271043781435,192.0,0.08334337565127652,242.45366651525347,34904.91484123989,192.0,0.13036784214514296,113.3674922997161,6670.334080001455,192.0,0.014659704375135326,9.056160382730013,42139.917419190344,192.0
Run1404,Run1404_best_field,0275,test,2,2,0.025278953276346633,18.518275643528927,28978.931606637616,39875.0,0.01536760245659402,0.03004525608175417,1.6988525481717458,7193.553061211471,1520.0,12.922141127010242,14314.713486921424,30415.0,0.010714516860505114,0.6878123944064842,5991.351677871726,7975.0,0.013871059409750457,0.0006360227040764163,3.3056232563398753,7975.0,0.03637724397108012,0.07280593105898146,55.01830094971787,7975.0,0.02320948715403338,1.8371224254309921,3410.413274910816,7975.0,0.030504631435021773,255.2469218227996,274301.98421733815,7975.0,0.02190118313092635,778.4087864359009,1622828.3133376103,9288.0,0.04375550588429392,43.62076561102289,22783.889472080882,192.0,0.1485279394273351,1237.7999280582608,56109.2083343642,192.0,0.07847759892618318,123.35578027790753,20029.40695721828,192.0,0.04194119839601243,74.12680797651046,42139.91236122265,192.0
Run1404,Run1404_best_field,0276,test,3,3,0.02965203829176741,24.319538895694432,27659.621432649667,39890.0,0.015193404247517632,0.03820966767390478,1.700595215951589,7367.00164216901,1585.0,19.230007796958205,13171.430341800278,30035.0,0.010936209640915072,0.7053159237558169,5897.25673825728,7978.0,0.01528765475450768,0.0008094103728568752,3.463275439329181,7978.0,0.05045176109892619,0.14422918830206563,56.663121845745565,7978.0,0.023524368312836275,1.9343908122853348,3495.491738360891,7978.0,0.062204368599787174,249.64153583755223,64517.13498702919,7978.0,0.03209670125538283,422.7390663922134,410347.30353400996,9288.0,0.04151846984422548,8.3988218845186,4872.3187528081235,192.0,0.0940490822803752,171.80960012867484,19423.983605023146,192.0,0.12886115377724405,67.06627759507768,4038.8727568665536,192.0,0.02273630262868563,21.783786242606766,42139.91781478987,192.0
Run1404,Run1404_best_field,0277,test,4,4,0.029374543392332756,22.766734034481722,26385.084236309518,39880.0,0.01668900583485314,0.03659378639815901,1.87376601731314,6727.511135766842,1565.0,17.84933568504731,13329.300525209963,30965.0,0.010904373377093187,0.7335155748804686,6168.902584456594,7976.0,0.01655787032867051,0.0008022211575959407,2.926073005089675,7976.0,0.044252887131680525,0.10346982763958033,52.83606983638238,7976.0,0.025116969135654994,2.027339844127792,3213.602022068932,7976.0,0.054254513437929405,311.5127829331219,105828.862124142,7976.0,0.03738427712424859,472.70364269937625,338229.1033214076,9288.0,0.036720564260777244,5.256040069805646,3897.983309793631,192.0,0.18302134089241887,661.7091164646125,19754.39130841358,192.0,0.1518439492205508,74.63642764172062,3237.0981182694504,192.0,0.018194127874552282,13.94942022500436,42139.91662799523,192.0
Run1404,Run1404_best_field,0278,test,5,5,0.02972735058759239,25.061605177838786,28359.363144224022,39900.0,0.021878435136577085,0.033206109647174624,2.7867522913644613,5821.914933757687,1580.0,17.098421713409643,15506.722998907493,30565.0,0.012920728692375223,1.0875745576606655,6514.559044536438,7980.0,0.018086839305536694,0.0008465747265957508,2.5878550009046863,7980.0,0.033701527599578014,0.04765868925741303,41.960718924176135,7980.0,0.03155835152512361,3.075171841310506,3087.7403309043484,7980.0,0.03809421474501297,439.588399673045,302920.156085136,7980.0,0.026349920235008217,1056.1293494419433,1521102.5763416477,9288.0,0.04503492703284079,40.614336189904975,20025.364627107207,192.0,0.13525278921746509,1019.502360913006,55730.863976652545,192.0,0.08196797354027079,116.17918352911286,17291.788836518885,192.0,0.029172118589696122,35.8616047275118,42139.92697006929,192.0
Run1404,Run1404_best_field,0279,test,6,6,0.024710036488415032,16.499773612988946,27022.853827654406,39870.0,0.01763505799715015,0.0288856887129747,2.19156995722599,7046.955901482406,1535.0,11.865373740918704,14220.536089851756,31120.0,0.01179845898231605,0.7989373326996108,5739.342484754405,7974.0,0.015710956586125556,0.0007270386857110502,2.9454541259035043,7974.0,0.030744220212116674,0.0407632459709148,43.1262598286553,7974.0,0.025924916867919517,2.2090730267016454,3286.815512313511,7974.0,0.03580123839648513,194.5637094077605,151797.8912792583,7974.0,0.027726462194200836,744.4570370610231,968390.9505284459,9288.0,0.04778621460171454,26.736647789597917,11708.511767019801,192.0,0.11511066213664718,571.3912437825903,43122.35560978951,192.0,0.11307815973176374,124.39670426312318,9728.623811862988,192.0,0.0227565095793308,21.822522974376625,42139.91535643006,192.0
Run1404,Run1404_best_field,0280,test,7,7,0.025797599635012224,19.1285115041335,28742.370252651355,39880.0,0.015823036511085565,0.03083818410192292,1.5278754956915688,6102.507267090742,1545.0,14.436507602125923,15180.446663151459,29720.0,0.011370417432666547,0.8376197840035586,6478.793067108477,7976.0,0.015998438403971128,0.0007031087311422904,2.747054678566564,7976.0,0.03599256464824554,0.05384954952029347,41.56774716158322,7976.0,0.026265247001600097,2.2632840691612586,3280.772287868972,7976.0,0.03441300684298476,269.4089356256545,227492.3276925804,7976.0,0.02404226320963192,716.595503792224,1239719.3619899421,9288.0,0.037042633482603976,22.570472757476335,16448.903273474334,192.0,0.10070477275940806,459.27901539961584,45287.30689349423,192.0,0.09234312680966197,120.84613108452518,14171.753800066952,192.0,0.02792243448815286,32.854909085844156,42139.920160133086,192.0
Run1404,Run1404_best_field,0281,test,8,8,0.028762966245789303,22.714418596609224,27455.811326736806,39885.0,0.02029002908019139,0.033861494858984674,2.3480511420611556,5703.510073601181,1560.0,16.801202667308846,14653.052891519761,29945.0,0.012015462292868321,0.9760492052801593,6760.685639487279,7977.0,0.019716187942708224,0.0009401916281020899,2.41863582266359,7977.0,0.03409302049951312,0.05470471339152819,47.064536690691945,7977.0,0.02555635934494164,2.09159260234929,3202.4261615766823,7977.0,0.04391542664514404,425.7541715399559,220762.1927894939,7977.0,0.022781752297216355,876.454930958075,1688711.0208279933,9288.0,0.040100802301664545,33.47924332452328,20819.46237354171,192.0,0.09685379464074216,698.3720753524165,74448.09413936366,192.0,0.1060873654876668,195.9598667670698,17411.64510263713,192.0,0.036334180483070466,55.631964590370444,42139.9153281757,192.0
Run1404,Run1404_best_field,0282,test,9,9,0.02662762919781026,20.65390656414415,29129.78014657686,39885.0,0.01600879107878785,0.02961149099692151,2.1013866728515866,8199.52887744741,1550.0,11.630918186125436,13264.57836407174,29990.0,0.012254454692792667,0.8381468063985039,5581.258190899145,7977.0,0.02148465381675958,0.0017775707911128807,3.8509704385135777,7977.0,0.027952694849481076,0.03171466191290202,40.589408181637154,7977.0,0.024948776712751156,2.2748965861911223,3654.7960480569395,7977.0,0.040400490416504245,343.4354930427696,210412.67722056352,7977.0,0.04299703927999969,2713.0687752727263,1467518.8885266248,9288.0,0.07158369605738096,106.26701609288972,20738.161354870368,192.0,0.1518661031354351,1200.2884425548361,52043.19205581868,192.0,0.07302940035448931,98.46859023007437,18462.999200165905,192.0,0.029286920648127327,36.14441382702444,42139.92564271146,192.0
Run1404,Run1404_best_field,0283,test,10,10,0.06257228104756356,128.26273101385956,32759.442944975257,39155.0,0.07430294784667354,0.055241536240345675,59.39385044366494,10757.946818381695,2500.0,37.42289799248413,12263.259563599842,26070.0,0.016805730699481488,1.4908089550853818,5278.459489901704,7831.0,0.03559618948234237,0.0057196863453864025,4.514037825311055,7831.0,0.05091163300737473,0.2528853559350371,97.5640064374907,7831.0,0.0839439927494776,25.726771841222167,3650.951387004221,7831.0,0.07475857509169566,1819.701682752158,325595.32950985106,7831.0,0.04874857220706776,5742.213775662372,2416326.163122027,15480.0,0.07978239918491904,213.97189805923853,33615.73062687011,320.0,0.22876502689663425,3674.198807871183,70207.48074676926,320.0,0.08040634489649545,190.39785919880507,29449.736956317734,320.0,0.037651582157241174,99.56550078913278,70233.1943800236,320.0
Run1404,Run1404_best_field,0284,test,11,11,0.0638034272382619,130.817263013808,32134.90667846381,39150.0,0.08519714953507261,0.054544402205575195,82.93983426986279,11426.49499731365,2560.0,32.54326741059507,10938.575838140794,25760.0,0.014838953884238898,1.1417787282850516,5185.317783530144,7830.0,0.020537430688138965,0.002048888479277953,4.857648644963495,7830.0,0.04066480471564297,0.14876791551055887,89.96465022450317,7830.0,0.09815853059962819,36.382934872894786,3776.0838717009756,7830.0,0.059186415369939384,1457.1966334779795,415981.56440105266,7830.0,0.04281334126058762,4521.805638179349,2466911.933518054,15480.0,0.06950875615809962,161.97270601680148,33524.53817726036,320.0,0.15559046595980516,2071.986551922972,85589.59463233863,320.0,0.09053707344572431,239.70186016795975,29242.769439842836,320.0,0.0348450401387153,85.2755169759821,70233.19454957594,320.0
Run1404,Run1404_best_field,0285,test,12,12,0.03997261723170647,57.60406485506718,36051.88365808023,39185.0,0.03145468873449117,0.04757379265973329,11.674219790000446,11799.322777785612,2615.0,28.445728705608087,12568.443953323496,25155.0,0.01765497196505335,1.710069862719897,5486.302992714013,7837.0,0.019566855779421268,0.0019978136210860287,5.218105817262776,7837.0,0.029570066798394096,0.0890980186903614,101.89747804233417,7837.0,0.03337144301093689,4.4734273947487315,4016.894451588754,7837.0,0.06138089793497548,1595.832630414599,423565.7800973984,7837.0,0.04265429174389431,6894.521102032002,3789471.41155968,15480.0,0.06383104292422069,219.7475864151083,53933.70222549292,320.0,0.12671289038349268,1829.601822863467,113950.17311168268,320.0,0.08559575818450228,347.1054883195337,47375.84774755291,320.0,0.06793911225077744,324.1769747964481,70233.19567984995,320.0
Run1404,Run1404_best_field,0286,test,13,13,0.03831498165139527,47.19535829192958,32148.598409944163,39160.0,0.043030722017164034,0.035224485494625785,19.58426093662304,10576.693532131883,2585.0,15.556570335505908,12537.89245308141,25745.0,0.015167581645596166,1.2637955336598758,5493.436812026927,7832.0,0.027547663710145862,0.0035596863135714412,4.690748879033801,7832.0,0.03431734315728842,0.13105932595446756,111.28602111778953,7832.0,0.04844742652088564,8.593508907033268,3661.247650786021,7832.0,0.050059545595603376,328.8080471052599,131210.51242554322,7832.0,0.06205583160004597,5354.102136094645,1390341.3902441612,15480.0,0.06381711871926742,74.9931445970018,18413.959349566812,320.0,0.20326610949074986,2168.248200721753,52478.21384906466,320.0,0.16171934356637183,417.43806506108547,15961.294435771033,320.0,0.04180777809016432,122.75986504347566,70233.16304396547,320.0
Run1404,Run1404_best_field,0287,test,14,14,0.06197265620984476,119.75004183459642,31179.952706628217,39145.0,0.084112234699204,0.04272139860520138,74.24520013851546,10494.216975451642,2540.0,23.71164448314712,12991.842608600064,27780.0,0.020066729464171266,2.1251337286254635,5277.5587050459435,7829.0,0.039273893669990845,0.00664946843135926,4.311009784627094,7829.0,0.04621597873820827,0.21800953225042258,102.06836867586802,7829.0,0.09273083388068669,30.858453376471477,3588.6063815061534,7829.0,0.06350413851643581,635.1832934003883,157505.24081423788,7829.0,0.029904140780648056,1426.7959683744164,1595508.845783609,15480.0,0.04265741549088564,39.08422403383544,21478.91878629893,320.0,0.18233498871152404,1883.4884276562937,56653.001930133716,320.0,0.11512316854723632,244.04547654845257,18413.879374171294,320.0,0.04313433233605703,130.67382790239753,70233.19946628052,320.0
Run1404,Run1404_best_field,0288,test,15,15,0.04105493190294216,53.50513998781938,31744.23258102262,39170.0,0.027219886220481767,0.04753857144169576,7.4174073275909365,10011.04740682154,2540.0,25.930211951609873,11473.972721330545,24105.0,0.014869346745763531,1.1574114417963388,5234.847001850586,7834.0,0.026842210320343275,0.0030673243422050574,4.257191156642582,7834.0,0.03186243052931221,0.07349317078304933,72.39176773602672,7834.0,0.031330626461548626,3.3789300201744235,3442.239150904539,7834.0,0.06450158982435154,1610.940730511112,387203.0092174071,7834.0,0.03424490509224225,2926.289767210001,2495315.100733794,15480.0,0.05050640157243532,82.24924183253614,32243.26765699192,320.0,0.160965132981028,2294.8001279726745,88568.89777655413,320.0,0.11259773473343389,351.00784543717043,27685.828021737736,320.0,0.06893576212432656,333.75793389652335,70233.19664057004,320.0
Run1404,Run1404_best_field,0289,test,16,16,0.0373022229572888,49.25108880192258,35395.36611413712,39185.0,0.0226571807325149,0.049584806459777725,6.218807847926855,12114.218427645417,2615.0,29.14983551895638,11856.018374154684,25485.0,0.018338572111394846,1.7027497343917053,5063.138255174116,7837.0,0.022734884995294292,0.0028550631710354372,5.523701464600281,7837.0,0.045326185574628176,0.1368285144577377,66.60061917942427,7837.0,0.03361230865313568,4.321917429949386,3825.4257741714932,7837.0,0.04183717666215093,903.066442983183,515934.9717450853,7837.0,0.02478546185558435,2832.03849348428,4610044.525840376,15480.0,0.04988743232411467,160.54792798479434,64509.31074986173,320.0,0.14489089109671513,2721.261559652959,129624.80620358001,320.0,0.07056959464546099,283.7671705698169,56980.5850690314,320.0,0.06326583714368902,281.1129811747287,70233.1880787086,320.0
Run1404,Run1404_best_field,0290,test,17,17,0.030843260737175755,30.878573617896496,32459.11392187815,39135.0,0.025249972720491842,0.037559549594053505,7.310341219011893,11466.10256230581,2565.0,13.571459108802332,9620.237440984332,22415.0,0.013120423189409026,0.8759335022979464,5088.332129155842,7827.0,0.019282556200881186,0.001967389105854776,5.291283737247802,7827.0,0.030300801134330337,0.0619390559489557,67.46155685395314,7827.0,0.03156475265808288,3.8740267487521987,3888.282708167679,7827.0,0.04309423915135806,546.8808881888667,294478.9876825686,7827.0,0.03014565603159797,1414.9734478255505,1557036.564680998,15480.0,0.04777822966928081,46.17330128392058,20226.96948080445,320.0,0.13658653738843976,1123.788188293141,60237.74038133286,320.0,0.10983570980878225,207.90336627824132,17233.5361431319,320.0,0.03391228590097921,80.77122157111262,70233.21048651185,320.0
Run1404,Run1404_best_field,0291,test,18,18,0.050119837932793274,83.48269211064661,33233.58019356198,39185.0,0.030420233109051006,0.058193053658967306,10.645728302701546,11504.03786797601,2585.0,38.903685538556196,11488.10646419366,25775.0,0.018117938624764598,1.5975600983103913,4866.7567120122785,7837.0,0.020115704266552993,0.002356214202893937,5.822966414344689,7837.0,0.0452586987593262,0.12045839824793354,58.80753251258722,7837.0,0.03072413090114829,3.670266490704222,3888.1085845294697,7837.0,0.11473981523289736,2951.721390988806,224205.91719621173,7837.0,0.05040921669905585,5134.430540034553,2020562.9480011866,15480.0,0.06542007471335909,127.91397088205802,29887.934966066307,320.0,0.14965144089202512,1029.860048522405,45985.02271969245,320.0,0.1116346195425665,332.85965030138715,26709.35247297465,320.0,0.03667655281629449,94.47543040156688,70233.10336826851,320.0
Run1404,Run1404_best_field,0292,test,19,19,0.04060674904641731,51.826206826015024,31430.622378569005,39160.0,0.029603198328236,0.04671624979733368,7.411326223192636,8457.045369554231,2490.0,34.13678331367105,15641.79722118661,27845.0,0.01177690465754092,0.6977839054233209,5031.049957478162,7832.0,0.022108446948506482,0.0014585323703802465,2.984005372070587,7832.0,0.050329945995663934,0.17966565910437265,70.92709068656876,7832.0,0.029706723537022948,2.546440463602031,2885.519527321996,7832.0,0.046850437569134665,1450.763943133473,660951.2836346847,7832.0,0.02862810147800058,2283.4017142487182,2786103.3777438444,15480.0,0.047022933733123815,77.40612417315751,35007.07945554924,320.0,0.12055737645669494,1694.9856567993331,116621.45371874596,320.0,0.10349039241963941,317.51755244174797,29646.106930632894,320.0,0.038289392460106805,102.96731047007415,70233.19381486115,320.0
Run1404,Run1404_best_field,0293,test,20,20,0.0461407285659038,81.7261432308941,38387.701480242125,38425.0,0.039956097369719085,0.05241820418854277,22.544139503640537,14121.067779717925,3460.0,35.81114677586756,13033.286800645366,24410.0,0.014309154152345783,0.9028804085373499,4409.631565638391,7685.0,0.031631110113500685,0.0061708455774316445,6.167594471784006,7685.0,0.043690701527730615,0.2196950405876975,115.0912261779599,7685.0,0.04554967384743282,7.406461330015065,3569.769843837079,7685.0,0.05691055125650512,1828.066065849528,564425.0787463738,7685.0,0.04539530554206212,9994.87025799596,4850151.158050549,21672.0,0.061274878996529863,269.29517772256406,71723.85963590027,448.0,0.17730180177182112,3140.2083424738785,99892.33501930036,448.0,0.058986182250668366,222.06054492804657,63822.060975827124,448.0,0.04330149110040821,184.36402597213873,98326.47724655867,448.0
