model_index,model_label,checkpoint,run_dir,case_order,dataset_index,case_id,split,forward_architecture,support_topology_applicable,query_main_context_norm_mean,query_main_context_norm_median,query_main_context_norm_p95,query_main_context_norm_max,query_coarse_context_norm_mean,query_coarse_context_norm_median,query_coarse_context_norm_p95,query_coarse_context_norm_max,query_local_context_norm_mean,query_local_context_norm_median,query_local_context_norm_p95,query_local_context_norm_max,query_main_context_norm_fraction_mean,query_main_context_norm_fraction_median,query_main_context_norm_fraction_p95,query_main_context_norm_fraction_max,query_coarse_context_norm_fraction_mean,query_coarse_context_norm_fraction_median,query_coarse_context_norm_fraction_p95,query_coarse_context_norm_fraction_max,query_local_context_norm_fraction_mean,query_local_context_norm_fraction_median,query_local_context_norm_fraction_p95,query_local_context_norm_fraction_max,query_local_neighbor_count_mean,query_local_neighbor_count_median,query_local_neighbor_count_p95,query_local_neighbor_count_max,query_local_neighbor_incidence_count,query_coarse_read_pair_count,port_main_context_norm_mean,port_main_context_norm_median,port_main_context_norm_p95,port_main_context_norm_max,port_coarse_context_norm_mean,port_coarse_context_norm_median,port_coarse_context_norm_p95,port_coarse_context_norm_max,port_local_context_norm_mean,port_local_context_norm_median,port_local_context_norm_p95,port_local_context_norm_max,port_main_context_norm_fraction_mean,port_main_context_norm_fraction_median,port_main_context_norm_fraction_p95,port_main_context_norm_fraction_max,port_coarse_context_norm_fraction_mean,port_coarse_context_norm_fraction_median,port_coarse_context_norm_fraction_p95,port_coarse_context_norm_fraction_max,port_local_context_norm_fraction_mean,port_local_context_norm_fraction_median,port_local_context_norm_fraction_p95,port_local_context_norm_fraction_max,port_local_neighbor_count_mean,port_local_neighbor_count_median,port_local_neighbor_count_p95,port_local_neighbor_count_max,port_local_neighbor_incidence_count,port_coarse_read_pair_count
0,Run1501_best_field_e4689,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf,0,0,0273,test,sparse_incidence_group_control_honf,False,8.909152417094447,5.958052158355713,23.24808549880981,71.85081481933594,15.342507299268618,15.334609508514404,18.499284076690675,19.0299015045166,0.0,0.0,0.0,0.0,0.33224373167286103,0.2676236778497696,0.6303806692361831,0.8330295085906982,0.6677562689437764,0.7323763370513916,0.8324760615825653,0.8643625974655151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.895118069835007,4.063802242279053,30.82072172164917,32.53411102294922,16.37951093663772,16.7790584564209,18.33687973022461,18.3676815032959,0.0,0.0,0.0,0.0,0.30691548248675343,0.18906717002391815,0.6935865849256515,0.7014177441596985,0.6930845176490644,0.8109328150749207,0.8292006254196167,0.8343073725700378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Run1501_best_field_e4689,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf,1,1,0274,test,sparse_incidence_group_control_honf,False,10.147642588475719,7.676677942276001,24.774187183380125,80.91251373291016,15.962143134791404,15.991800308227539,19.058009243011476,19.586618423461914,0.0,0.0,0.0,0.0,0.35185549279231054,0.32193198800086975,0.6103106081485747,0.8462156057357788,0.6481445077315584,0.6780680119991302,0.7870358616113663,0.8241270780563354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.578364634265503,5.111631870269775,34.2546724319458,38.71131134033203,17.26659455522895,17.424588203430176,18.721900939941406,18.74557876586914,0.0,0.0,0.0,0.0,0.32786430383566767,0.21964949369430542,0.6878646522760391,0.7216936349868774,0.6721356967464089,0.7803505063056946,0.796478271484375,0.7968006730079651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Run1501_best_field_e4689,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf,2,2,0275,test,sparse_incidence_group_control_honf,False,8.503984992858022,5.889476537704468,21.464936447143554,64.3517074584961,15.399929595645517,15.38453483581543,18.58123369216919,19.12847900390625,0.0,0.0,0.0,0.0,0.32288031026837416,0.26570743322372437,0.626774138212204,0.8312202095985413,0.6771196895115281,0.7342925667762756,0.819268399477005,0.8385412693023682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.61287553422153,5.521148681640625,28.590360927581788,30.442800521850586,16.351610432068508,16.87359619140625,18.434080123901367,18.46303939819336,0.0,0.0,0.0,0.0,0.33966350605866563,0.248271182179451,0.690750652551651,0.7045859098434448,0.660336493087622,0.7517287731170654,0.8028298616409302,0.8034473061561584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Run1501_best_field_e4689,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf,3,3,0276,test,sparse_incidence_group_control_honf,False,8.69375715975184,5.723766565322876,23.840700244903562,75.55862426757812,16.277118862723,16.323705673217773,19.272817420959473,19.868247985839844,0.0,0.0,0.0,0.0,0.31043006619802327,0.24756745994091034,0.6220163315534591,0.8378840088844299,0.689569934611427,0.7524325251579285,0.8229304611682892,0.8461345434188843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.096335450187325,4.8627543449401855,32.3284252166748,35.57544708251953,16.855690091848373,17.10696029663086,18.746315002441406,18.774436950683594,0.0,0.0,0.0,0.0,0.3295470201216328,0.2243705540895462,0.694707664847374,0.7074534893035889,0.6704529844379673,0.775629460811615,0.8042895197868347,0.8046189546585083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Run1501_best_field_e4689,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf,4,4,0277,test,sparse_incidence_group_control_honf,False,9.284872510499554,6.7623865604400635,23.085541343688956,75.65110778808594,16.271874368772842,16.31321144104004,19.296211624145506,19.87885284423828,0.0,0.0,0.0,0.0,0.3308859646167548,0.29183998703956604,0.6004740595817566,0.8231053948402405,0.6691140352668299,0.708160012960434,0.8107730090618134,0.8336183428764343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.074734066302577,4.897008895874023,32.62429542541504,36.19160461425781,17.17296141386032,17.419015884399414,18.810909271240234,18.838132858276367,0.0,0.0,0.0,0.0,0.32253765016018104,0.22116658091545105,0.6780579447746277,0.7052997350692749,0.6774623529442275,0.7788334488868713,0.8141712546348572,0.8160794377326965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Run1501_best_field_e4689,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf,5,5,0278,test,sparse_incidence_group_control_honf,False,9.324545298673911,6.013132572174072,24.79202480316162,75.01162719726562,15.115672707790509,15.038136005401611,18.310797786712648,19.041831970214844,0.0,0.0,0.0,0.0,0.33544523220552946,0.3023868054151535,0.6139108657836914,0.8171619772911072,0.6645547677926515,0.6976131796836853,0.8437255471944809,0.890586256980896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6799037369589,4.3068437576293945,33.1447172164917,35.748817443847656,16.823389029751223,17.153074264526367,18.199176788330078,18.223705291748047,0.0,0.0,0.0,0.0,0.31048490908384946,0.1971025913953781,0.6776157051324844,0.6921026706695557,0.6895150867446015,0.8028973340988159,0.8151625990867615,0.8172457218170166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Run1501_best_field_e4689,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf,6,6,0279,test,sparse_incidence_group_control_honf,False,8.351022911345353,5.779090404510498,20.92629175186157,66.43582916259766,15.398996197502129,15.34198808670044,18.569441318511963,19.32674789428711,0.0,0.0,0.0,0.0,0.32153539116734464,0.25442248582839966,0.6165787607431411,0.8362393379211426,0.6784646090927708,0.7455775141716003,0.8156176269054413,0.8384456634521484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.430995758002004,5.1681294441223145,28.317217159271237,30.40776824951172,16.29930306101839,16.978227615356445,18.385988235473633,18.409425735473633,0.0,0.0,0.0,0.0,0.33797379515211406,0.23403236269950867,0.6831492483615875,0.6982585787773132,0.6620262021897361,0.765967607498169,0.7888287305831909,0.7889924049377441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Run1501_best_field_e4689,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf,7,7,0280,test,sparse_incidence_group_control_honf,False,10.159956365445396,6.7749247550964355,26.25365762710571,82.67969512939453,15.377764772856608,15.314332485198975,18.543388175964356,19.30988311767578,0.0,0.0,0.0,0.0,0.3540192968575866,0.30878208577632904,0.6368171393871307,0.8411171436309814,0.6459807032351819,0.6912178695201874,0.8337216347455978,0.8771988153457642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8382724194477,5.2562408447265625,35.82457866668701,39.489749908447266,16.796393252909184,17.021230697631836,18.34328842163086,18.365402221679688,0.0,0.0,0.0,0.0,0.3440149635619794,0.24264414608478546,0.6971889853477478,0.7202914357185364,0.6559850384946913,0.7573558688163757,0.7847055196762085,0.7878379821777344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Run1501_best_field_e4689,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf,8,8,0281,test,sparse_incidence_group_control_honf,False,10.232981987530366,6.617522954940796,28.8161226272583,97.72628784179688,14.769467978971079,14.670689582824707,18.015788173675535,18.686908721923828,0.0,0.0,0.0,0.0,0.3635067961549794,0.3267812430858612,0.6614701032638549,0.8676338195800781,0.6364932039050473,0.6732187271118164,0.7987825483083725,0.8346207737922668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.70212635708352,4.695252418518066,38.485644531249996,41.82576370239258,16.518076846996944,16.615140914916992,17.980735778808594,18.006649017333984,0.0,0.0,0.0,0.0,0.32912619538061944,0.21302232146263123,0.7235921293497085,0.7456120848655701,0.6708738056477159,0.7869777083396912,0.7969934940338135,0.8004817366600037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Run1501_best_field_e4689,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf,9,9,0282,test,sparse_incidence_group_control_honf,False,8.713931947859237,5.523621082305908,23.19398899078369,69.7139663696289,15.36043704347685,15.298660278320312,18.53007879257202,19.29062271118164,0.0,0.0,0.0,0.0,0.32469457943989255,0.2534227520227432,0.6461347639560698,0.8443982601165771,0.6753054203072679,0.7465772330760956,0.8214096367359162,0.8677961826324463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.751882085576653,5.004835605621338,30.979112339019775,32.73062515258789,16.26339552675684,16.943653106689453,18.341896057128906,18.36463737487793,0.0,0.0,0.0,0.0,0.33607189535784227,0.21964947879314423,0.7066989153623581,0.7199339270591736,0.6639281045257425,0.7803505659103394,0.787909746170044,0.7901756167411804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
