model_label,num_cases,model_index,checkpoint,run_dir,evaluation_wall_time_seconds_mean,evaluation_wall_time_seconds_median,evaluation_wall_time_seconds_p95,evaluation_wall_time_seconds_std,evaluation_wall_time_seconds_min,evaluation_wall_time_seconds_max,evaluation_queries_per_second_mean,evaluation_queries_per_second_median,evaluation_queries_per_second_p95,evaluation_queries_per_second_std,evaluation_queries_per_second_min,evaluation_queries_per_second_max,evaluation_cuda_allocated_before_mib_mean,evaluation_cuda_allocated_before_mib_median,evaluation_cuda_allocated_before_mib_p95,evaluation_cuda_allocated_before_mib_std,evaluation_cuda_allocated_before_mib_min,evaluation_cuda_allocated_before_mib_max,evaluation_cuda_peak_allocated_mib_mean,evaluation_cuda_peak_allocated_mib_median,evaluation_cuda_peak_allocated_mib_p95,evaluation_cuda_peak_allocated_mib_std,evaluation_cuda_peak_allocated_mib_min,evaluation_cuda_peak_allocated_mib_max,evaluation_cuda_reserved_before_mib_mean,evaluation_cuda_reserved_before_mib_median,evaluation_cuda_reserved_before_mib_p95,evaluation_cuda_reserved_before_mib_std,evaluation_cuda_reserved_before_mib_min,evaluation_cuda_reserved_before_mib_max,evaluation_cuda_incremental_peak_allocated_mib_mean,evaluation_cuda_incremental_peak_allocated_mib_median,evaluation_cuda_incremental_peak_allocated_mib_p95,evaluation_cuda_incremental_peak_allocated_mib_std,evaluation_cuda_incremental_peak_allocated_mib_min,evaluation_cuda_incremental_peak_allocated_mib_max,evaluation_cuda_incremental_peak_reserved_mib_mean,evaluation_cuda_incremental_peak_reserved_mib_median,evaluation_cuda_incremental_peak_reserved_mib_p95,evaluation_cuda_incremental_peak_reserved_mib_std,evaluation_cuda_incremental_peak_reserved_mib_min,evaluation_cuda_incremental_peak_reserved_mib_max,evaluation_cuda_peak_reserved_mib_mean,evaluation_cuda_peak_reserved_mib_median,evaluation_cuda_peak_reserved_mib_p95,evaluation_cuda_peak_reserved_mib_std,evaluation_cuda_peak_reserved_mib_min,evaluation_cuda_peak_reserved_mib_max
Run1501_best_field_e4689,90,0,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf,0.5163111910637882,0.5102917831391096,0.5405863437801599,0.04739865205164624,0.47888133581727743,0.9348006630316377,15948.048867387144,16053.564285305521,16655.170936297196,912.3836935603717,8763.36562859578,17106.53430670714,23.26372612847222,23.35400390625,23.35400390625,0.8516788521995544,15.22900390625,23.35400390625,116.957470703125,116.361572265625,122.8251708984375,3.497679561866485,111.90234375,128.1220703125,175.2888888888889,178.0,178.0,16.913666035647974,16.0,178.0,93.69374457465278,93.007568359375,99.4711669921875,3.757641211690933,88.54833984375,108.1572265625,1.8,0.0,0.0,16.77047670428271,0.0,160.0,177.0888888888889,178.0,178.0,0.9960415480451097,176.0,178.0
Run1501_best_total_e4877,90,1,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_model.pt,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf,0.5142685021791193,0.5118235684931278,0.5649617820978164,0.01998359508062831,0.48021811712533236,0.5971561297774315,15951.791901375987,16005.515579733823,16643.040757480292,576.9114273979397,13718.355370568286,17058.91491357867,23.38857421875,23.35400390625,23.61328125,0.0881373490142503,23.35400390625,23.61328125,117.1339084201389,116.19091796875,123.510546875,3.874103179375829,112.23388671875,132.24853515625,180.13333333333333,182.0,182.0,1.9955506062794355,178.0,182.0,93.74533420138889,92.794677734375,100.15654296875,3.843326273092477,88.8798828125,108.89453125,0.044444444444444446,0.0,0.0,0.4192880503136269,0.0,4.0,180.17777777777778,182.0,182.0,1.9920830960902196,178.0,182.0
Run1502_best_field_e4794,90,2,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1502_20260923_004751_sparse_incidence_environment_sparsemax/best_by_field_mse_model.pt,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1502_20260923_004751_sparse_incidence_environment_sparsemax,0.5118273850219945,0.5112684541381896,0.5399431562516838,0.01709778012088042,0.4738884214311838,0.5877846451476216,16022.629969316744,16022.89545364814,16774.654135226618,517.1450666094074,13937.07724015585,17286.769689918685,23.43466796875,23.35400390625,23.61328125,0.12003196608437301,23.35400390625,23.61328125,101.79024522569445,101.7060546875,106.3481689453125,2.9588795538036514,96.3447265625,106.90576171875,182.0,182.0,182.0,0.0,182.0,182.0,78.35557725694444,78.160888671875,82.7401611328125,2.9266242962916658,72.99072265625,83.29248046875,0.0,0.0,0.0,0.0,0.0,0.0,182.0,182.0,182.0,0.0,182.0,182.0
