model_label,stratum_name,stratum_value,num_cases,global_field_fluid_norm_l2_mean,global_field_fluid_norm_l2_median,global_field_fluid_norm_l2_p95,global_field_fluid_norm_l2_max,global_field_near_interface_norm_l2_mean,global_field_near_interface_norm_l2_median,global_field_near_interface_norm_l2_p95,global_field_near_interface_norm_l2_max,global_field_far_fluid_norm_l2_mean,global_field_far_fluid_norm_l2_median,global_field_far_fluid_norm_l2_p95,global_field_far_fluid_norm_l2_max,field_temperature_fluid_physical_mae_mean,field_temperature_fluid_physical_mae_median,field_temperature_fluid_physical_mae_p95,field_temperature_fluid_physical_mae_max,port_t_env_final_physical_mae_mean,port_t_env_final_physical_mae_median,port_t_env_final_physical_mae_p95,port_t_env_final_physical_mae_max,port_h_effective_final_physical_mae_mean,port_h_effective_final_physical_mae_median,port_h_effective_final_physical_mae_p95,port_h_effective_final_physical_mae_max,internal_temperature_physical_mae_mean,internal_temperature_physical_mae_median,internal_temperature_physical_mae_p95,internal_temperature_physical_mae_max,interface_t_surface_physical_mae_mean,interface_t_surface_physical_mae_median,interface_t_surface_physical_mae_p95,interface_t_surface_physical_mae_max,interface_q_normal_physical_mae_mean,interface_q_normal_physical_mae_median,interface_q_normal_physical_mae_p95,interface_q_normal_physical_mae_max,pressure_drop_inlet_minus_outlet_physical_abs_error_mean,pressure_drop_inlet_minus_outlet_physical_abs_error_median,pressure_drop_inlet_minus_outlet_physical_abs_error_p95,pressure_drop_inlet_minus_outlet_physical_abs_error_max,mean_outlet_temperature_physical_abs_error_mean,mean_outlet_temperature_physical_abs_error_median,mean_outlet_temperature_physical_abs_error_p95,mean_outlet_temperature_physical_abs_error_max,mean_active_module_temperature_physical_abs_error_mean,mean_active_module_temperature_physical_abs_error_median,mean_active_module_temperature_physical_abs_error_p95,mean_active_module_temperature_physical_abs_error_max
Run1501_best_field_e4689,module_count_stratum,10,15,0.022584009175786464,0.021745331981573333,0.02742601820417963,0.028422321550425657,0.02094548134056989,0.019343470948161127,0.03296774429889757,0.03377416608938826,0.025791225059098134,0.02578045720499071,0.02899141751162877,0.02970696315291684,0.15979341452390433,0.16031418296745278,0.18459323520007145,0.1881571208511352,0.7258761773460234,0.7186855978565291,0.8383390578487887,0.8922110743587837,0.5661736673116684,0.5462898924946785,0.7422448264062403,0.8232878163456917,0.24278639902805949,0.23867650689889294,0.30221191924200114,0.32962744394341337,0.3403824908751994,0.3426523758098483,0.38488927285186947,0.40436063800007105,1.096885457833414,1.1277208795771003,1.2225200629071333,1.2329694237327202,0.0012293117830874205,0.0012563696882352815,0.0022053226748539596,0.00243647535717173,0.09644086174666881,0.08083896711468697,0.269366423599422,0.28379962407052517,0.14094044775149353,0.13293633763834833,0.1964059707130605,0.2106736507093494
Run1501_best_field_e4689,module_count_stratum,3,25,0.020169268594371535,0.017275511957349325,0.02897121365340533,0.037727297375665325,0.015070369387450357,0.01084463618299684,0.028822330137035185,0.06203276436219248,0.022147231026757575,0.020513801291883373,0.03000058097715735,0.03255891230779075,0.11056321002871418,0.10065670039170442,0.15816806767716715,0.1763922592373125,0.7084791608372082,0.7136998899901906,0.9009961964562534,0.9195359873895844,0.34289796133836115,0.3417152166366577,0.43547726074854537,0.5029227336247762,0.20455901797248,0.19879192316665617,0.2712692672840795,0.27322922401855365,0.2810264132171869,0.30460396377990645,0.41173132695257664,0.41710038483142853,0.7801753874619802,0.7671556938439608,1.0947973370552058,1.1636021348337333,0.0018386169764971782,0.0012912604770463076,0.004689894560954142,0.004958978938702785,0.1200451287071337,0.11978581036237301,0.1961144948378205,0.23782266670605168,0.12342075498862919,0.12843679066853397,0.17878408622988215,0.18678133411719777
Run1501_best_field_e4689,module_count_stratum,5,25,0.034055601744486554,0.025204136791318416,0.06710801307410813,0.0743711770255495,0.03808057100253029,0.02130228463104668,0.09777809871753194,0.11096245546325632,0.03048813976200964,0.02636057809229447,0.05041326846830118,0.05355472452627092,0.1699435576406908,0.1325927757019431,0.29722400310155883,0.35676000934591623,0.7661575062088669,0.7571561137214303,0.977540378384292,1.1170552865602077,0.4317230080366135,0.4114993840456009,0.5946362364292144,0.6651052534580231,0.2803929547932413,0.22417750358966587,0.6158585905890125,0.6992316536432088,0.37987913328781725,0.3405380129814148,0.7282109711319202,0.8225103972479701,1.1065756456051021,0.9508093543350696,1.6499327505752441,1.7301003329455853,0.0016862051761017938,0.0013985446776132449,0.0037972652999087586,0.007287947657459881,0.16228362987501896,0.14615663373842835,0.37862791661173095,0.4399463829722663,0.14690549039578876,0.12762211104927168,0.26770883156963643,0.6664120292709779
Run1501_best_field_e4689,module_count_stratum,7,25,0.03651331207323198,0.027083256212722565,0.0718727922285762,0.07342435591417837,0.04256301300477687,0.03154015244022088,0.08972252579741699,0.09873379985376966,0.03216456673008908,0.028661845337764457,0.055302646325401425,0.060514880489912645,0.20666204244323583,0.1667494906320198,0.42637698112333233,0.5348026737404868,0.7520939483174256,0.7265322210400232,1.0792865278332355,1.1574558571779303,0.5028997182846069,0.46337035085473743,0.6894579785210742,0.983126808490072,0.3663028413067228,0.2536729456902914,1.0303355589943546,1.1737398365825338,0.4396238614592169,0.3657443579286337,0.8764232029073996,1.347149950319103,1.3136362586471453,1.1886923531336444,2.078441354392894,2.3330826523846815,0.0013203594521678497,0.00125424828775067,0.0027089959258773874,0.0028726409655064344,0.2179506740011857,0.15732973325066268,0.5363662099465727,1.1207790324478992,0.23417835740475013,0.14922281843395346,0.9704167650057471,1.1114123266488694
Run1501_best_total_e4877,module_count_stratum,10,15,0.022451605509351977,0.021498260731152637,0.02779917562950731,0.02892830676303507,0.020762758677887808,0.01852951416275139,0.03299536634501194,0.03774718641235741,0.025568546077244445,0.026041808548762535,0.028935549067606533,0.030708574563423675,0.1573884922099955,0.15589931952637417,0.18559196317676188,0.18899941652427937,0.7218988547706977,0.7111009844578803,0.8435501603456214,0.9089240953093395,0.5720097624262174,0.5612777233123779,0.733664243519306,0.8232889771461487,0.24298193356742592,0.2404810863852655,0.30114412422664943,0.315198675907898,0.3450070750433952,0.3454001186415553,0.39540734130889177,0.4172301921993494,1.0629932911676587,1.0863781671971082,1.1842480757203884,1.1868828010745347,0.001242215900068307,0.0010326373267162126,0.0029224869625977586,0.0031873748175712535,0.10229418464004994,0.05149180255830288,0.2689539419487118,0.3239340614527464,0.14316086892978747,0.139928109510695,0.1831921109396404,0.19414067387253553
Run1501_best_total_e4877,module_count_stratum,3,25,0.020698185088214718,0.018649744385933423,0.029964483738329658,0.03629814816467243,0.015205233143035563,0.01034443163064007,0.03157989264941766,0.0598553656236736,0.022973866220507295,0.02243280583456963,0.031414818772196026,0.034620056352263895,0.11222259009313852,0.10490365865400555,0.16491363078052487,0.17938946542339612,0.7117358873877674,0.7109025350461403,0.8961547943918655,0.927147175806264,0.3342229952414831,0.33737988273302716,0.43680812617142994,0.5263538310925165,0.20175605533684668,0.20159534014549674,0.2547139248914188,0.25794457121207526,0.2816192603483796,0.29540345041702193,0.40282091597716013,0.40799250081181526,0.7566021884108584,0.7372407739361128,1.082679552833239,1.147236763810118,0.001901449493348082,0.0015393646133361472,0.004529846427033135,0.004771685486957722,0.12027296803804348,0.10406930509634549,0.28528507350711146,0.29392892355826916,0.12116353616567657,0.12061668931154479,0.1609100133771019,0.16179563555606613
Run1501_best_total_e4877,module_count_stratum,5,25,0.033521603075456624,0.02638119011814069,0.06941747531375053,0.07520868662928103,0.037253042193762964,0.021084696386266897,0.09662270577412634,0.1157808774243726,0.030074432989553163,0.0263081569678089,0.05016816012712877,0.05633917933278195,0.1686717532992409,0.13209648853583433,0.30302458849601355,0.3829662215250789,0.775943903002888,0.7605903488583863,1.0011989081278443,1.055655832309276,0.43136062037944795,0.4157539397478104,0.6068686044216156,0.662242078781128,0.2779441642750449,0.22613878193905804,0.595369020547977,0.7354778620700811,0.3743687551505864,0.3278424026444554,0.7167739228159183,0.8653504552319646,1.0924067180259154,0.9212452901527286,1.7089214360713953,1.839319491526112,0.0012470652258343763,0.0007271976919582812,0.003672682238902775,0.0066314889045315795,0.15941863951666163,0.13510827906429768,0.35037860087468287,0.5181206238594314,0.1450868001413899,0.12307442906445054,0.25527835353400297,0.6953454558778489
Run1501_best_total_e4877,module_count_stratum,7,25,0.03624745167355972,0.027355342260830504,0.07373806784821244,0.07634128615704826,0.04196958503550968,0.030807005059575645,0.08857389102629223,0.10639425684448274,0.03192321105640111,0.02826032896790444,0.05506760964527796,0.06072302639746295,0.20439803494409062,0.1664372965938741,0.422476142181887,0.5424546528228471,0.7459367489495448,0.7217368137623582,1.0848436153227725,1.1442162530230624,0.504850150687354,0.46753157888139996,0.7334898671933577,0.9709950515202114,0.36492184683389006,0.25636533250356347,0.999222279811705,1.1729732570216065,0.439478053565004,0.36076714790293146,0.849005664286336,1.3488242809793778,1.2831942061343165,1.141492853739432,2.0347709945269994,2.2922179122854556,0.0012822149133739913,0.0011729701909644064,0.002713020259398035,0.0031461903572562733,0.21001027927180985,0.10724428948014975,0.5671138539444653,1.1208368787556537,0.23739947417304755,0.1535952003729797,0.9495126055830629,1.1110450522668174
Run1502_best_field_e4794,module_count_stratum,10,15,0.02395321085416046,0.02262913347673427,0.029744167175266345,0.02984079786272484,0.02389537586133327,0.019765359395142332,0.037903652391928035,0.039506602506439725,0.025770800703966923,0.02583334997551544,0.030919932334283244,0.032359207273628066,0.15989600744068183,0.15635094764438326,0.1846581972934809,0.18567601741673542,0.7156869893505547,0.6987648513866589,0.8138091678079217,0.8691626249114052,0.5780764336387315,0.5595543414354325,0.7172290989756582,0.8064750209450722,0.2476648664285174,0.24321753231553453,0.3066988219481529,0.3316068445536902,0.3458646912096689,0.34761975705623627,0.40114900368265805,0.4178518608212471,1.1627288790759243,1.159607790131122,1.272921470256988,1.3141761975362898,0.0019325653360889798,0.0015184759886324173,0.0038511875934091216,0.004367715154330654,0.07003593059877554,0.05696490220725536,0.1683059762232005,0.1929669426754117,0.14805981863729728,0.1401791353693156,0.20365963312708285,0.2226548706405147
Run1502_best_field_e4794,module_count_stratum,3,25,0.018551089353480432,0.017900086838942727,0.023958220523454657,0.024322925031453644,0.011346992615951266,0.010184396024093132,0.016250388134740557,0.024913399907987768,0.021381950107987734,0.02036709491600893,0.027234715634994296,0.028999648116545356,0.10526171105710824,0.10499494611340408,0.15068498174417894,0.15629409697968732,0.7015112279076129,0.7176645347693315,0.8838572472333908,0.9077154034748673,0.3282847126324972,0.3511454959710439,0.42809792558352144,0.43455415467421216,0.206146103660933,0.20570625203704135,0.25702352953511615,0.2896250041071759,0.2874848895768325,0.31046442221850157,0.43073156873385104,0.4456183227399985,0.8977395803357163,0.9165079345305761,1.307961373031139,1.3418554589152336,0.0013594800663713612,0.0011246631452195288,0.0029040579055617847,0.0032027468571982354,0.10764262454563323,0.0988655008841306,0.2041917452472261,0.2892950880341232,0.13127545652745845,0.12827154306067712,0.18851732346233377,0.24970812586671265
