endpoint,source_index,case,layout_index,wind_direction_deg,classic_volume_rmse_mps,dense_volume_rmse_mps,dense_minus_classic_volume_rmse_mps
best_validation,3,gen_0001_wd270,1,270.0,0.019701620563864708,0.01207120530307293,-0.0076304152607917786
best_validation,4,gen_0001_wd285,1,285.0,0.015861110761761665,0.011346595361828804,-0.004514515399932861
best_validation,5,gen_0001_wd300,1,300.0,0.016785982996225357,0.010588840581476688,-0.006197142414748669
best_validation,33,gen_0011_wd270,11,270.0,0.013850347138941288,0.007385771255940199,-0.006464575883001089
best_validation,34,gen_0011_wd285,11,285.0,0.014402947388589382,0.0074441079050302505,-0.006958839483559132
best_validation,35,gen_0011_wd300,11,300.0,0.015258745290338993,0.008462737314403057,-0.006796007975935936
best_validation,45,gen_0015_wd270,15,270.0,0.015866661444306374,0.009651059284806252,-0.006215602159500122
best_validation,46,gen_0015_wd285,15,285.0,0.018925685435533524,0.00863026361912489,-0.010295421816408634
best_validation,47,gen_0015_wd300,15,300.0,0.01364116556942463,0.007971039973199368,-0.005670125596225262
best_validation,48,gen_0016_wd270,16,270.0,0.022448835894465446,0.010966053232550621,-0.011482782661914825
best_validation,49,gen_0016_wd285,16,285.0,0.019160715863108635,0.008234431967139244,-0.010926283895969391
best_validation,50,gen_0016_wd300,16,300.0,0.017499195411801338,0.010597731918096542,-0.006901463493704796
best_validation,51,gen_0017_wd270,17,270.0,0.02022775635123253,0.012089885771274567,-0.008137870579957962
best_validation,52,gen_0017_wd285,17,285.0,0.019599998369812965,0.012206776067614555,-0.00739322230219841
best_validation,53,gen_0017_wd300,17,300.0,0.021579453721642494,0.013417374342679977,-0.008162079378962517
best_validation,69,gen_0023_wd270,23,270.0,0.019441409036517143,0.00917734019458294,-0.010264068841934204
best_validation,70,gen_0023_wd285,23,285.0,0.016807468608021736,0.007967918179929256,-0.00883955042809248
best_validation,71,gen_0023_wd300,23,300.0,0.01692873239517212,0.009239079430699348,-0.007689652964472771
best_validation,93,gen_0031_wd270,31,270.0,0.013908874243497849,0.009285383857786655,-0.004623490385711193
best_validation,94,gen_0031_wd285,31,285.0,0.01819714717566967,0.009467614814639091,-0.008729532361030579
best_validation,95,gen_0031_wd300,31,300.0,0.01641004905104637,0.00822249986231327,-0.008187549188733101
best_validation,120,gen_0040_wd270,40,270.0,0.017356134951114655,0.007643254939466715,-0.00971288001164794
best_validation,121,gen_0040_wd285,40,285.0,0.016110515221953392,0.009626495651900768,-0.006484019570052624
best_validation,122,gen_0040_wd300,40,300.0,0.017603078857064247,0.007615072187036276,-0.009988006670027971
best_validation,126,gen_0042_wd270,42,270.0,0.025650832802057266,0.012801267206668854,-0.012849565595388412
best_validation,127,gen_0042_wd285,42,285.0,0.02418491058051586,0.012852141633629799,-0.011332768946886063
