endpoint,stratum,classic_cases,dense_cases,classic_layouts,dense_layouts,classic_mean_volume_rmse_mps,dense_mean_volume_rmse_mps,dense_minus_classic_volume_rmse_mps,dense_reduction_percent_volume_rmse,classic_max_volume_rmse_mps,dense_max_volume_rmse_mps
best_validation,M=10,6,6,2,2,0.01792370993643999,0.009341763332486153,-0.008581946603953838,47.88041445876235,0.022448835894465446,0.010966053232550621
best_validation,M=11,3,3,1,1,0.01841778742770354,0.009192584703365961,-0.00922520272433758,50.08855032424404,0.020382555201649666,0.00947005394846201
best_validation,M=12,6,6,2,2,0.01533801838134726,0.008378019168352088,-0.0069599992129951715,45.37743429398485,0.01819714717566967,0.009467614814639091
best_validation,M=13,3,3,1,1,0.016298916190862656,0.009610199369490147,-0.006688716821372509,41.0378011828926,0.01748824492096901,0.010464114136993885
best_validation,M=15,3,3,1,1,0.014068885085483393,0.009140755670766035,-0.0049281294147173575,35.02857109695435,0.01577778346836567,0.009656096808612347
best_validation,M=17,6,6,2,2,0.018036597408354282,0.011233704630285501,-0.006802892778068781,37.71716263355628,0.021010546013712883,0.014268566854298115
best_validation,M=18,3,3,1,1,0.016025568669040997,0.009819350205361843,-0.0062062184636791536,38.726978067671574,0.018043482676148415,0.01010553166270256
best_validation,M=19,6,6,2,2,0.01872740297888716,0.010342160084595283,-0.008385242894291876,44.775257432892346,0.024669351056218147,0.011989525519311428
best_validation,M=20,3,3,1,1,0.01520860909173886,0.009927622973918915,-0.0052809861178199444,34.723662670036774,0.01643925905227661,0.010584688745439053
best_validation,M=21,3,3,1,1,0.03335595068832239,0.012769081940253576,-0.02058686874806881,61.718728812235845,0.05023210868239403,0.012852141633629799
best_validation,M=22,3,3,1,1,0.014759027709563574,0.01052329254647096,-0.004235735163092613,28.699283221400393,0.016623452305793762,0.0114184794947505
best_validation,M=23,3,3,1,1,0.017728601582348347,0.01068059355020523,-0.007048008032143116,39.755013949665006,0.022227495908737183,0.011595438234508038
best_validation,M=24,9,9,3,3,0.027651488780975342,0.012655141349467967,-0.014996347431507375,54.23341777468813,0.059075284749269485,0.014678164385259151
