additive_omega_edge_map_cosine,additive_omega_effective_rank,additive_omega_largest_energy_fraction,additive_p_edge_map_cosine,additive_p_effective_rank,additive_p_largest_energy_fraction,additive_temperature_edge_map_cosine,additive_temperature_effective_rank,additive_temperature_largest_energy_fraction,additive_u_edge_map_cosine,additive_u_effective_rank,additive_u_largest_energy_fraction,additive_v_edge_map_cosine,additive_v_effective_rank,additive_v_largest_energy_fraction,base_to_final_alignment_cost,base_to_final_environment_assignment_l1,base_to_final_module_assignment_l1,base_to_provisional_alignment_cost,base_to_provisional_environment_assignment_l1,base_to_provisional_module_assignment_l1,candidate_edge_count,case_id,checkpoint,edge_count,environment_centered_effective_rank,environment_edge_column_cosine,environment_effective_rank,environment_largest_dominant_occupancy,environment_neighbor_dominant_agreement,environment_neighbor_l1,environment_row_cosine,environment_row_effective_edges,environment_row_entropy_norm,environment_row_max,environment_spatial_smoothness,hard_selected_edge_count,module_centered_effective_rank,module_edge_column_cosine,module_effective_rank,module_largest_dominant_occupancy,module_row_cosine,module_row_effective_edges,module_row_entropy_norm,module_row_max,normalized_field_mse,pairwise_edge_map_cosine,pairwise_edge_map_cv,pairwise_edge_map_effective_rank,pass,post_fallback_zero_support_environment_rows,post_fallback_zero_support_module_rows,provisional_to_final_alignment_cost,provisional_to_final_environment_assignment_l1,provisional_to_final_module_assignment_l1,query_centered_effective_rank,query_edge_column_cosine,query_effective_rank,query_entropy_norm_direct,query_global_mean_route_l1,query_largest_dominant_occupancy,query_neighbor_l1,query_per_edge_spatial_std,query_row_cosine,query_row_effective_edges,query_row_entropy_norm,query_row_max,region_scale_normalized,region_separation_normalized,representation,selected_edge_count,selection_transition_fraction,source_scale_normalized,source_separation_normalized,viable_selected_edge_count
,,,,,,,,,,,,,,,,,,,,,6.0,0273,classic_1000_best,6,4.201851417326971,0.07589669600258121,4.75193442366614,0.3177083333333333,0.7755681818181818,0.40596650230631026,0.33058497813305726,1.779706497033897,0.28440743365059956,0.8031206401309313,0.7970167488468448,6.0,1.2986960975892992,0.933196976683393,1.2213372339264057,0.6666666666666666,0.9304426153498486,5.752989919041845,0.9765183057378217,0.2363474546058495,,,,,base,0.0,0.0,,,,,,,,,,,,,,,,0.19006211283114977,0.3355237351572263,candidate,6.0,0.0,0.09668446756295788,0.026690436132998874,6.0
,,,,,,,,,,,,,,,,,,,,,6.0,0273,classic_1000_best,6,4.201851417326971,0.07589669600258121,4.75193442366614,0.3177083333333333,0.7755681818181818,0.40596650230631026,0.33058497813305726,1.779706497033897,0.28440743365059956,0.8031206401309313,0.7970167488468448,6.0,1.2986960975892992,0.933196976683393,1.2213372339264057,0.6666666666666666,0.9304426153498486,5.752989919041845,0.9765183057378217,0.2363474546058495,,,,,base,0.0,0.0,,,,,,,,,,,,,,,,0.19006211283114977,0.3355237351572263,selected,6.0,0.0,0.09668446756295788,0.026690436132998874,6.0
,,,,,,,,,,,,,,,,,,,,,6.0,0273,classic_1000_best,6,4.198810783405902,0.07587525285390923,4.749774926246625,0.3177083333333333,0.7755681818181818,0.4058107708440686,0.33058333307533383,1.779228756291506,0.2841994596597054,0.8032117259760095,0.7970946145779657,6.0,1.3107151947527702,0.9380938514581277,1.2050613665443872,0.6666666666666666,0.9363768491017678,5.751764952039004,0.9764050067696137,0.23866148300889445,,,,,provisional,0.0,0.0,,,,,,,,,,,,,,,,0.19006954021099864,0.33556456592564304,candidate,6.0,0.0,0.09664784505175923,0.02668814040910785,6.0
,,,,,,,,,,,,,,,,,,,,,6.0,0273,classic_1000_best,6,4.198810783405902,0.07587525285390923,4.749774926246625,0.3177083333333333,0.7755681818181818,0.4058107708440686,0.33058333307533383,1.779228756291506,0.2841994596597054,0.8032117259760095,0.7970946145779657,6.0,1.3107151947527702,0.9380938514581277,1.2050613665443872,0.6666666666666666,0.9363768491017678,5.751764952039004,0.9764050067696137,0.23866148300889445,,,,,provisional,0.0,0.0,,,,,,,,,,,,,,,,0.19006954021099864,0.33556456592564304,selected,6.0,0.0,0.09664784505175923,0.02668814040910785,6.0
,,,,,,,,,,,,,,,,,,,,,6.0,0273,classic_1000_best,6,4.198706410722163,0.07589651943715624,4.749628181897286,0.3177083333333333,0.7755681818181818,0.40582217788009706,0.330622484880255,1.7794226954818158,0.28425220718745836,0.8031570241216407,0.7970889110599515,6.0,1.289757388335102,0.9389704364944067,1.2026137034091293,0.6666666666666666,0.9370560924229916,5.757789204723839,0.97698660607801,0.23760210137862714,,,,,final,0.0,0.0,,,,,,,,,,,,,,,,0.1900939922357759,0.3355379603768309,candidate,6.0,0.0,0.09665173269802846,0.026565481949141843,6.0
,,,,,,,,,,,,,,,0.0006895700768143907,0.0033812095974395614,0.01260722279603658,0.0006681534403443829,0.0033290898925006033,0.012386289110312821,6.0,0273,classic_1000_best,6,4.198706410722163,0.07589651943715624,4.749628181897286,0.3177083333333333,0.7755681818181818,0.40582217788009706,0.330622484880255,1.7794226954818158,0.28425220718745836,0.8031570241216407,0.7970889110599515,6.0,1.289757388335102,0.9389704364944067,1.2026137034091293,0.6666666666666666,0.9370560924229916,5.757789204723839,0.97698660607801,0.23760210137862714,0.07167290896177292,0.43046305933557477,1.9706501236199074,2.546017182409483,final,0.0,0.0,1.885426230744414e-05,0.000198053822046203,0.0012520180838684648,3.9484721811171775,0.376453143425207,4.019472395155515,0.7116771337984709,0.8520114303323558,0.2296142578125,0.04465443004059918,0.17198094260378896,0.4969654931660343,3.611478061142612,0.7116771337984709,0.49205289570203414,0.1900939922357759,0.3355379603768309,selected,6.0,0.0,0.09665173269802846,0.026565481949141843,6.0
,,,,,,,,,,,,,,,,,,,,,6.0,0274,classic_1000_best,6,4.233261924151068,0.074680302294885,4.803785207019809,0.3333333333333333,0.78125,0.40707175947374985,0.32818600838466605,1.7710473933167536,0.28152261432365144,0.8025894517937081,0.7964641202631252,6.0,1.2552804264768878,0.931363987067484,1.2318183910148406,0.6666666666666666,0.9257399093613143,5.781390740314794,0.9792668352559883,0.22324991326628443,,,,,base,0.0,0.0,,,,,,,,,,,,,,,,0.1903552725137173,0.3389235990087634,candidate,6.0,0.0,0.18720390141445256,0.042651367863059,6.0
,,,,,,,,,,,,,,,,,,,,,6.0,0274,classic_1000_best,6,4.233261924151068,0.074680302294885,4.803785207019809,0.3333333333333333,0.78125,0.40707175947374985,0.32818600838466605,1.7710473933167536,0.28152261432365144,0.8025894517937081,0.7964641202631252,6.0,1.2552804264768878,0.931363987067484,1.2318183910148406,0.6666666666666666,0.9257399093613143,5.781390740314794,0.9792668352559883,0.22324991326628443,,,,,base,0.0,0.0,,,,,,,,,,,,,,,,0.1903552725137173,0.3389235990087634,selected,6.0,0.0,0.18720390141445256,0.042651367863059,6.0
,,,,,,,,,,,,,,,,,,,,,6.0,0274,classic_1000_best,6,4.237127177808627,0.07476038898547491,4.8057895119289125,0.3333333333333333,0.78125,0.40798846678787337,0.3284241567371306,1.772553559509199,0.2820243942118462,0.8022789172080418,0.7960057666060633,6.0,1.1649694677701958,0.9254614867241436,1.2454152996986259,0.6666666666666666,0.9191451095311263,5.766606492557432,0.9778087876250655,0.2182642062237524,,,,,provisional,0.0,0.0,,,,,,,,,,,,,,,,0.190549630012299,0.3387313531568258,candidate,6.0,0.0,0.18735443090008164,0.04233747287276086,6.0
,,,,,,,,,,,,,,,,,,,,,6.0,0274,classic_1000_best,6,4.237127177808627,0.07476038898547491,4.8057895119289125,0.3333333333333333,0.78125,0.40798846678787337,0.3284241567371306,1.772553559509199,0.2820243942118462,0.8022789172080418,0.7960057666060633,6.0,1.1649694677701958,0.9254614867241436,1.2454152996986259,0.6666666666666666,0.9191451095311263,5.766606492557432,0.9778087876250655,0.2182642062237524,,,,,provisional,0.0,0.0,,,,,,,,,,,,,,,,0.190549630012299,0.3387313531568258,selected,6.0,0.0,0.18735443090008164,0.04233747287276086,6.0
