case_id,channel,checkpoint,normalized_mse,normalized_sse,normalized_target_ss,physical_mse,physical_sse,physical_target_ss,region,value_count
0273,u,run1000_best,0.027229792632728202,223.06646124730943,8456.132984378804,0.00616069317004111,50.46839844897677,5919.62458712795,whole,8192
0273,v,run1000_best,0.13669428953141233,1119.7996198413298,5043.281680269442,8.331460445935962e-05,0.682513239731074,3.0738795188038477,whole,8192
0273,p,run1000_best,0.007420348645846019,60.78749610677059,5066.826363183395,9.963747131373406e-05,0.8162301650021094,79.14080880525088,whole,8192
0273,omega,run1000_best,0.18311915935858974,1500.1121534655672,7582.832354556893,0.07919260113619739,648.745788507729,3279.311359993135,whole,8192
0273,temperature,run1000_best,0.0039009480648349868,31.95656654712821,3482.6822848346833,0.2089826226683093,1711.9856448987898,266393.4452743686,whole,8192
0273,__all__,run1000_best,0.07167290764668227,2935.722297208106,29631.755667223217,0.058903773810064175,2412.6985752602286,275674.59590981377,whole,40960
0273,u,run1000_best,0.0001192544345410525,0.9509348610303526,8061.015551704371,2.698109995651049e-05,0.21514729105321465,5919.62458712795,fluid,7974
0273,v,run1000_best,3.183434371387307e-05,0.2538470567744239,5043.281551519658,1.940291004922723e-08,0.0001547188047325379,3.0738795188038477,fluid,7974
0273,p,run1000_best,0.0001387424058632751,1.1063319443537558,3561.5981267502393,1.8629770226668856e-06,0.014855378778745746,54.36135401305509,fluid,7974
0273,omega,run1000_best,0.00013655418853784017,1.0888830994007375,7582.832340929154,5.905489780845341e-05,0.47090375512460747,3279.311359993135,fluid,7974
0273,temperature,run1000_best,0.00025178824125766274,2.0077594357886026,3288.8020563162295,0.0134888650044865,107.56020954577535,238555.76052399416,fluid,7974
0273,__all__,run1000_best,0.00013563472278274073,5.407756397347873,27537.529627219654,0.0027153566764368366,108.26127068953667,247812.13170464712,fluid,39870
0273,u,run1000_best,6.149147607926505e-05,0.018816391680255107,81.75795062287042,1.3912350763384662e-05,0.0042571793335957064,127.1237154180294,near_interface_fluid,306
0273,v,run1000_best,0.0001286601631168005,0.039370009913740955,3201.0234753748045,7.841799328418341e-08,2.3995905944960126e-05,1.951024435646685,near_interface_fluid,306
0273,p,run1000_best,0.00011159532562143276,0.034148169640158425,1380.7972180169531,1.4984533676882984e-06,0.0004585267305126193,22.566053385623874,near_interface_fluid,306
0273,omega,run1000_best,0.00026756044589017024,0.08187349644239209,2292.6343648556635,0.00011571061198438468,0.03540744726722171,991.4716033595375,near_interface_fluid,306
0273,temperature,run1000_best,0.0009512893624576319,0.29109454491203535,178.24917865322632,0.050962713436409506,15.594590311541308,18931.8906825265,near_interface_fluid,306
0273,__all__,run1000_best,0.00030411935463306005,0.4653026125885819,7134.462187523518,0.01021878265410365,15.634737460778585,20075.003079125338,near_interface_fluid,1530
0273,u,run1000_best,0.00013498049070004056,0.8448428912915539,6875.802722209926,3.053908896571929e-05,0.19114415783643704,4592.132728348606,far_field_fluid,6259
0273,v,run1000_best,1.4956901762143914e-05,0.09361524812925875,0.028274955159921095,9.116169784856019e-09,5.705810668341382e-05,1.5081096904800516e-05,far_field_fluid,6259
0273,p,run1000_best,0.00015173321861498568,0.9496982153111955,1025.7699256183496,2.037412639051337e-06,0.01275216570782232,14.396945207879266,far_field_fluid,6259
0273,omega,run1000_best,0.00014427234671189073,0.903000618069724,3975.089931471246,6.239272762925142e-05,0.3905160822314846,1719.1353442397547,far_field_fluid,6259
