additive_omega_edge_map_cosine,additive_omega_effective_rank,additive_omega_largest_energy_fraction,additive_p_edge_map_cosine,additive_p_effective_rank,additive_p_largest_energy_fraction,additive_temperature_edge_map_cosine,additive_temperature_effective_rank,additive_temperature_largest_energy_fraction,additive_u_edge_map_cosine,additive_u_effective_rank,additive_u_largest_energy_fraction,additive_v_edge_map_cosine,additive_v_effective_rank,additive_v_largest_energy_fraction,base_to_final_alignment_cost,base_to_final_environment_assignment_l1,base_to_final_module_assignment_l1,base_to_provisional_alignment_cost,base_to_provisional_environment_assignment_l1,base_to_provisional_module_assignment_l1,candidate_edge_count,case_id,checkpoint,edge_count,environment_centered_effective_rank,environment_edge_column_cosine,environment_effective_rank,environment_largest_dominant_occupancy,environment_neighbor_dominant_agreement,environment_neighbor_l1,environment_row_cosine,environment_row_effective_edges,environment_row_entropy_norm,environment_row_max,environment_spatial_smoothness,hard_selected_edge_count,module_centered_effective_rank,module_edge_column_cosine,module_effective_rank,module_largest_dominant_occupancy,module_row_cosine,module_row_effective_edges,module_row_entropy_norm,module_row_max,normalized_field_mse,pairwise_edge_map_cosine,pairwise_edge_map_cv,pairwise_edge_map_effective_rank,pass,post_fallback_zero_support_environment_rows,post_fallback_zero_support_module_rows,provisional_to_final_alignment_cost,provisional_to_final_environment_assignment_l1,provisional_to_final_module_assignment_l1,query_centered_effective_rank,query_edge_column_cosine,query_effective_rank,query_entropy_norm_direct,query_global_mean_route_l1,query_largest_dominant_occupancy,query_neighbor_l1,query_per_edge_spatial_std,query_row_cosine,query_row_effective_edges,query_row_entropy_norm,query_row_max,region_scale_normalized,region_separation_normalized,representation,selected_edge_count,selection_transition_fraction,source_scale_normalized,source_separation_normalized,viable_selected_edge_count
,,,,,,,,,,,,,,,,,,,,,6.0,0273,run1000_best,6,4.201851417326971,0.07589669600258121,4.75193442366614,0.3177083333333333,0.7755681818181818,0.40596650230631026,0.33058497813305726,1.779706497033897,0.28440743365059956,0.8031206401309313,0.7970167488468448,6.0,1.2986960975892992,0.933196976683393,1.2213372339264057,0.6666666666666666,0.9304426153498486,5.752989919041845,0.9765183057378217,0.2363474546058495,,,,,base,0.0,0.0,,,,,,,,,,,,,,,,0.19006211283114977,0.3355237351572263,candidate,6.0,0.0,0.09668446756295788,0.026690436132998874,6.0
,,,,,,,,,,,,,,,,,,,,,6.0,0273,run1000_best,6,4.201851417326971,0.07589669600258121,4.75193442366614,0.3177083333333333,0.7755681818181818,0.40596650230631026,0.33058497813305726,1.779706497033897,0.28440743365059956,0.8031206401309313,0.7970167488468448,6.0,1.2986960975892992,0.933196976683393,1.2213372339264057,0.6666666666666666,0.9304426153498486,5.752989919041845,0.9765183057378217,0.2363474546058495,,,,,base,0.0,0.0,,,,,,,,,,,,,,,,0.19006211283114977,0.3355237351572263,selected,6.0,0.0,0.09668446756295788,0.026690436132998874,6.0
,,,,,,,,,,,,,,,,,,,,,6.0,0273,run1000_best,6,4.198810783405902,0.07587525285390923,4.749774926246625,0.3177083333333333,0.7755681818181818,0.4058107708440686,0.33058333307533383,1.779228756291506,0.2841994596597054,0.8032117259760095,0.7970946145779657,6.0,1.3107151947527702,0.9380938514581277,1.2050613665443872,0.6666666666666666,0.9363768491017678,5.751764952039004,0.9764050067696137,0.23866148300889445,,,,,provisional,0.0,0.0,,,,,,,,,,,,,,,,0.19006954021099864,0.33556456592564304,candidate,6.0,0.0,0.09664784505175923,0.02668814040910785,6.0
,,,,,,,,,,,,,,,,,,,,,6.0,0273,run1000_best,6,4.198810783405902,0.07587525285390923,4.749774926246625,0.3177083333333333,0.7755681818181818,0.4058107708440686,0.33058333307533383,1.779228756291506,0.2841994596597054,0.8032117259760095,0.7970946145779657,6.0,1.3107151947527702,0.9380938514581277,1.2050613665443872,0.6666666666666666,0.9363768491017678,5.751764952039004,0.9764050067696137,0.23866148300889445,,,,,provisional,0.0,0.0,,,,,,,,,,,,,,,,0.19006954021099864,0.33556456592564304,selected,6.0,0.0,0.09664784505175923,0.02668814040910785,6.0
,,,,,,,,,,,,,,,,,,,,,6.0,0273,run1000_best,6,4.198706410722163,0.07589651943715624,4.749628181897286,0.3177083333333333,0.7755681818181818,0.40582217788009706,0.330622484880255,1.7794226954818158,0.28425220718745836,0.8031570241216407,0.7970889110599515,6.0,1.289757388335102,0.9389704364944067,1.2026137034091293,0.6666666666666666,0.9370560924229916,5.757789204723839,0.97698660607801,0.23760210137862714,,,,,final,0.0,0.0,,,,,,,,,,,,,,,,0.1900939922357759,0.3355379603768309,candidate,6.0,0.0,0.09665173269802846,0.026565481949141843,6.0
,,,,,,,,,,,,,,,0.0006895700768143907,0.0033812095974395614,0.01260722279603658,0.0006681534403443829,0.0033290898925006033,0.012386289110312821,6.0,0273,run1000_best,6,4.198706410722163,0.07589651943715624,4.749628181897286,0.3177083333333333,0.7755681818181818,0.40582217788009706,0.330622484880255,1.7794226954818158,0.28425220718745836,0.8031570241216407,0.7970889110599515,6.0,1.289757388335102,0.9389704364944067,1.2026137034091293,0.6666666666666666,0.9370560924229916,5.757789204723839,0.97698660607801,0.23760210137862714,0.07167290896177292,0.43046305933557477,1.9706501236199074,2.546017182409483,final,0.0,0.0,1.885426230744414e-05,0.000198053822046203,0.0012520180838684648,3.9484721811171775,0.376453143425207,4.019472395155515,0.7116771337984709,0.8520114303323558,0.2296142578125,0.04465443004059918,0.17198094260378896,0.4969654931660343,3.611478061142612,0.7116771337984709,0.49205289570203414,0.1900939922357759,0.3355379603768309,selected,6.0,0.0,0.09665173269802846,0.026565481949141843,6.0
,,,,,,,,,,,,,,,,,,,,,6.0,0274,run1000_best,6,4.233261924151068,0.074680302294885,4.803785207019809,0.3333333333333333,0.78125,0.40707175947374985,0.32818600838466605,1.7710473933167536,0.28152261432365144,0.8025894517937081,0.7964641202631252,6.0,1.2552804264768878,0.931363987067484,1.2318183910148406,0.6666666666666666,0.9257399093613143,5.781390740314794,0.9792668352559883,0.22324991326628443,,,,,base,0.0,0.0,,,,,,,,,,,,,,,,0.1903552725137173,0.3389235990087634,candidate,6.0,0.0,0.18720390141445256,0.042651367863059,6.0
,,,,,,,,,,,,,,,,,,,,,6.0,0274,run1000_best,6,4.233261924151068,0.074680302294885,4.803785207019809,0.3333333333333333,0.78125,0.40707175947374985,0.32818600838466605,1.7710473933167536,0.28152261432365144,0.8025894517937081,0.7964641202631252,6.0,1.2552804264768878,0.931363987067484,1.2318183910148406,0.6666666666666666,0.9257399093613143,5.781390740314794,0.9792668352559883,0.22324991326628443,,,,,base,0.0,0.0,,,,,,,,,,,,,,,,0.1903552725137173,0.3389235990087634,selected,6.0,0.0,0.18720390141445256,0.042651367863059,6.0
,,,,,,,,,,,,,,,,,,,,,6.0,0274,run1000_best,6,4.237127177808627,0.07476038898547491,4.8057895119289125,0.3333333333333333,0.78125,0.40798846678787337,0.3284241567371306,1.772553559509199,0.2820243942118462,0.8022789172080418,0.7960057666060633,6.0,1.1649694677701958,0.9254614867241436,1.2454152996986259,0.6666666666666666,0.9191451095311263,5.766606492557432,0.9778087876250655,0.2182642062237524,,,,,provisional,0.0,0.0,,,,,,,,,,,,,,,,0.190549630012299,0.3387313531568258,candidate,6.0,0.0,0.18735443090008164,0.04233747287276086,6.0
,,,,,,,,,,,,,,,,,,,,,6.0,0274,run1000_best,6,4.237127177808627,0.07476038898547491,4.8057895119289125,0.3333333333333333,0.78125,0.40798846678787337,0.3284241567371306,1.772553559509199,0.2820243942118462,0.8022789172080418,0.7960057666060633,6.0,1.1649694677701958,0.9254614867241436,1.2454152996986259,0.6666666666666666,0.9191451095311263,5.766606492557432,0.9778087876250655,0.2182642062237524,,,,,provisional,0.0,0.0,,,,,,,,,,,,,,,,0.190549630012299,0.3387313531568258,selected,6.0,0.0,0.18735443090008164,0.04233747287276086,6.0
,,,,,,,,,,,,,,,,,,,,,6.0,0274,run1000_best,6,4.2373010148405195,0.0747587157442695,4.806105907927871,0.3333333333333333,0.78125,0.4080231960968138,0.3283906480921867,1.772525919474285,0.2820060980370549,0.8022956655155175,0.7959884019515933,6.0,1.159905580656323,0.9248648067484145,1.2477849927464781,0.6666666666666666,0.9181457727659462,5.765839574825731,0.9777300066107404,0.21823762589939188,,,,,final,0.0,0.0,,,,,,,,,,,,,,,,0.19054352132638014,0.3387270570224454,candidate,6.0,0.0,0.18736174106318504,0.04249386584628812,6.0
,,,,,,,,,,,,,,,0.0004048724142774137,0.004417612833127554,0.009806786671764956,0.0004041329403344956,0.00441339269618608,0.009631655508333411,6.0,0274,run1000_best,6,4.2373010148405195,0.0747587157442695,4.806105907927871,0.3333333333333333,0.78125,0.4080231960968138,0.3283906480921867,1.772525919474285,0.2820060980370549,0.8022956655155175,0.7959884019515933,6.0,1.159905580656323,0.9248648067484145,1.2477849927464781,0.6666666666666666,0.9181457727659462,5.765839574825731,0.9777300066107404,0.21823762589939188,0.05205869674682617,0.4131134668191567,2.110452736950109,3.2186620062912246,final,0.0,0.0,3.0378917832106405e-05,0.00044930834470974316,0.0009691234031764853,3.935058631194891,0.37312244416837387,4.029996994970544,0.7080490523875808,0.8572570738502641,0.2181396484375,0.04470995857576034,0.1730162988392462,0.4946327389901034,3.5894082657759485,0.7080490523875808,0.49405147006587136,0.19054352132638014,0.3387270570224454,selected,6.0,0.0,0.18736174106318504,0.04249386584628812,6.0
,,,,,,,,,,,,,,,,,,,,,6.0,0275,run1000_best,6,4.1636471886008986,0.07535849304970976,4.7160992430274336,0.3229166666666667,0.7784090909090909,0.40315471693719507,0.33137349409092887,1.769704985944818,0.2816168524417518,0.8051249430430305,0.7984226415314026,6.0,1.655364747210014,0.9735868310404501,1.109281749851036,0.3333333333333333,0.971242664825497,5.756714500172752,0.9768618463282984,0.22739334077339401,,,,,base,0.0,0.0,,,,,,,,,,,,,,,,0.19068874336018932,0.33617876195445345,candidate,6.0,0.0,0.16032142907119995,0.023930674343188636,6.0
,,,,,,,,,,,,,,,,,,,,,6.0,0275,run1000_best,6,4.1636471886008986,0.07535849304970976,4.7160992430274336,0.3229166666666667,0.7784090909090909,0.40315471693719507,0.33137349409092887,1.769704985944818,0.2816168524417518,0.8051249430430305,0.7984226415314026,6.0,1.655364747210014,0.9735868310404501,1.109281749851036,0.3333333333333333,0.971242664825497,5.756714500172752,0.9768618463282984,0.22739334077339401,,,,,base,0.0,0.0,,,,,,,,,,,,,,,,0.19068874336018932,0.33617876195445345,selected,6.0,0.0,0.16032142907119995,0.023930674343188636,6.0
,,,,,,,,,,,,,,,,,,,,,6.0,0275,run1000_best,6,4.171785520701878,0.07559788947161585,4.721607610254515,0.3229166666666667,0.7784090909090909,0.40390505630689405,0.3318057933866214,1.7735807333416391,0.28275320551685146,0.8042873180309643,0.798047471846553,6.0,1.3248659883423672,0.9824638910603127,1.0686134426590428,1.0,0.982384076446544,5.740562388158724,0.9752891444480237,0.23553385430157017,,,,,provisional,0.0,0.0,,,,,,,,,,,,,,,,0.19077010545189627,0.3360065479382415,candidate,6.0,0.0,0.16109789873041708,0.020407370354686368,6.0
,,,,,,,,,,,,,,,,,,,,,6.0,0275,run1000_best,6,4.171785520701878,0.07559788947161585,4.721607610254515,0.3229166666666667,0.7784090909090909,0.40390505630689405,0.3318057933866214,1.7735807333416391,0.28275320551685146,0.8042873180309643,0.798047471846553,6.0,1.3248659883423672,0.9824638910603127,1.0686134426590428,1.0,0.982384076446544,5.740562388158724,0.9752891444480237,0.23553385430157017,,,,,provisional,0.0,0.0,,,,,,,,,,,,,,,,0.19077010545189627,0.3360065479382415,selected,6.0,0.0,0.16109789873041708,0.020407370354686368,6.0
,,,,,,,,,,,,,,,,,,,,,6.0,0275,run1000_best,6,4.171975656419522,0.07561675231505197,4.721619971175587,0.3229166666666667,0.7784090909090909,0.4039385208119638,0.33185644533275327,1.773803857388317,0.2828243721225326,0.8042239523347255,0.798030739594018,6.0,1.3170135061824486,0.9819538676590363,1.0694212788521689,1.0,0.9821140265054362,5.739392617104078,0.9751743902167443,0.23545497848040817,,,,,final,0.0,0.0,,,,,,,,,,,,,,,,0.19080863395259623,0.3359800631941674,candidate,6.0,0.0,0.16105582345952002,0.02060170003211584,6.0
