run,checkpoint_epoch,phase,phase_label,case_count,mean_of_case_medians_wall_ms,median_of_case_medians_wall_ms,p95_of_case_medians_wall_ms,mean_of_case_median_cuda_event_ms,mean_incremental_peak_allocated_mib,mean_absolute_peak_allocated_mib
1404,4890,application_evaluator,predict_case,90,29.87744952034619,29.59575317800045,32.526332000270486,29.854733890957302,364.27235243055554,386.10096571180554
1404,4890,full_forward,full direct forward,90,27.778986365430885,27.83753350377083,29.285067040473223,27.748544014824763,363.96766493055554,385.79627821180554
1404,4890,preparation_plus_one_query,prepare + 1 query,90,24.922067133916748,24.929001461714506,26.587876863777637,24.897398312886555,39.562961154513886,61.391574435763886
1404,4890,prepared_p2_decode,prepared P2 decode,90,6.575307550115718,6.562151946127415,6.850715121254325,6.550896347893609,363.28651258680554,385.37977430555554
1804,4738,application_evaluator,predict_case,90,158.87388579754366,158.5517469793558,171.21623624116182,158.84541609022352,53.582926432291664,82.74161783854167
1804,4738,full_forward,full direct forward,90,159.8259680180086,159.94023252278566,169.47360425256193,159.79549492730035,53.278238932291664,82.43693033854167
1804,4738,preparation_plus_one_query,prepare + 1 query,90,41.54423892291056,41.599343065172434,44.73491697572172,41.51452390882704,36.25526258680556,65.41395399305556
1804,4738,prepared_p2_decode,prepared P2 decode,90,118.49372746008966,118.45489963889122,126.46237914450467,118.46243709988065,50.75,80.3369140625
1501,4689,application_evaluator,predict_case,90,231.33240579110054,231.03739600628614,241.47022375836968,231.29944559733073,43.191867404513886,66.85055881076389
1501,4689,full_forward,full direct forward,90,229.1431752447453,228.79773611202836,239.49445113539696,229.11112145317927,42.887179904513886,66.54587131076389
1501,4689,preparation_plus_one_query,prepare + 1 query,90,63.62656368356612,63.52391513064504,67.33659687452018,63.59942783779568,38.121012369791664,61.779703776041664
1501,4689,prepared_p2_decode,prepared P2 decode,90,167.87754654263458,168.09567483142018,175.29711411334574,167.84381205240885,35.68212890625,60.42431640625
1502,4794,application_evaluator,predict_case,90,231.0867068150805,230.1902105100453,244.724813522771,231.05536244710285,43.191867404513886,66.85055881076389
1502,4794,full_forward,full direct forward,90,229.89470671034522,229.81833619996905,240.30854171141982,229.86057417127822,42.887179904513886,66.54587131076389
1502,4794,preparation_plus_one_query,prepare + 1 query,90,64.17519491579797,64.11015009507537,67.43408739566803,64.1464889102512,38.121012369791664,61.779703776041664
1502,4794,prepared_p2_decode,prepared P2 decode,90,168.14263036681547,168.10910450294614,175.37882323376834,168.10863376193578,35.68212890625,60.42431640625
