run,case_count,ledger_source,module_dense_routes_mean,module_dense_routes_min,module_dense_routes_max,module_evaluated_pairs_mean,module_evaluated_pairs_min,module_evaluated_pairs_max,module_gathered_routes_mean,module_gathered_routes_min,module_gathered_routes_max,module_selection_ratio_mean,module_unique_pairs_mean,module_logical_paths_mean,module_rows_forward_mean,module_valid_pair_denominator_mean,module_executor_selected_mean,module_padded_rows_mean,environment_unique_pairs_mean,environment_logical_paths_mean,environment_rows_forward_mean,environment_valid_pair_denominator_mean,environment_executor_selected_mean,environment_content_dot_rows_forward_mean,executor_selected_mean,interpretation
1404,90,untimed maps-on direct forward; scalar diagnostics only,47786.666666666664,24576.0,81920.0,98304.0,98304.0,98304.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,Classic route counters are available; no environment pair ledger is exposed.
1804,90,untimed maps-on direct forward; scalar diagnostics only,,,,,,,,,,,,,,,,,,,,,,,,No scalar row ledger is emitted; dense all-source behavior is visible in dense_pairwise.py.
1501,90,untimed maps-on direct forward; scalar diagnostics only,,,,,,,,,,,38114.22222222222,85324.78888888888,98304.0,47786.666666666664,0.0,50517.333333333336,962995.088888889,1820503.8555555556,1572864.0,1572864.0,0.0,6291456.0,,P2 rectangular-reference counters separate unique support from rows actually forwarded.
1502,90,untimed maps-on direct forward; scalar diagnostics only,,,,,,,,,,,39690.37777777778,87266.88888888889,98304.0,47786.666666666664,0.0,50517.333333333336,642541.0555555555,877276.6777777778,1572864.0,1572864.0,0.0,6291456.0,,P2 rectangular-reference counters separate unique support from rows actually forwarded.
