label,checkpoint,checkpoint_epoch,architecture,case_id,phase,status,median_wall_ms,p95_wall_ms,median_cuda_event_ms,peak_incremental_allocated_mib,peak_incremental_reserved_mib,baseline_allocated_mib,baseline_reserved_mib,application_grid_query_count,direct_query_count,application_query_batch_size,configured_inner_receiver_chunk_size
1404,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1404_20260916_092508_routing_only_pairwise/best_by_field_mse_model.pt,4890,legacy_honf,0276,prepared_p2_decode,complete,6.4322454854846,6.454120576381683,6.412288188934326,362.66845703125,0.0,22.09326171875,462.0,8192,8192,32768,
1404,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1404_20260916_092508_routing_only_pairwise/best_by_field_mse_model.pt,4890,legacy_honf,0277,application_evaluator,complete,30.86075372993946,33.35296846926212,30.836223602294922,363.654296875,0.0,21.82861328125,462.0,8192,8192,32768,
1404,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1404_20260916_092508_routing_only_pairwise/best_by_field_mse_model.pt,4890,legacy_honf,0277,full_forward,complete,26.0689752176404,26.350582018494606,26.029056549072266,363.349609375,0.0,21.82861328125,462.0,8192,8192,32768,
1404,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1404_20260916_092508_routing_only_pairwise/best_by_field_mse_model.pt,4890,legacy_honf,0277,preparation_plus_one_query,complete,25.28897114098072,27.84756552428007,25.26697540283203,35.47119140625,0.0,21.82861328125,462.0,8192,8192,32768,
1404,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1404_20260916_092508_routing_only_pairwise/best_by_field_mse_model.pt,4890,legacy_honf,0277,prepared_p2_decode,complete,6.465211510658264,6.496890913695097,6.445055961608887,362.66845703125,0.0,22.09326171875,462.0,8192,8192,32768,
1404,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1404_20260916_092508_routing_only_pairwise/best_by_field_mse_model.pt,4890,legacy_honf,0278,application_evaluator,complete,29.247941449284554,29.554942902177572,29.227903366088867,363.654296875,0.0,21.82861328125,462.0,8192,8192,32768,
1404,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1404_20260916_092508_routing_only_pairwise/best_by_field_mse_model.pt,4890,legacy_honf,0278,full_forward,complete,27.99468208104372,28.04346140474081,27.96326446533203,363.349609375,0.0,21.82861328125,462.0,8192,8192,32768,
1404,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1404_20260916_092508_routing_only_pairwise/best_by_field_mse_model.pt,4890,legacy_honf,0278,preparation_plus_one_query,complete,24.39274825155735,24.788757134228945,24.372224807739258,35.47119140625,0.0,21.82861328125,462.0,8192,8192,32768,
1404,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1404_20260916_092508_routing_only_pairwise/best_by_field_mse_model.pt,4890,legacy_honf,0278,prepared_p2_decode,complete,6.337539292871952,6.382544245570898,6.318079948425293,362.66845703125,0.0,22.09326171875,462.0,8192,8192,32768,
1404,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1404_20260916_092508_routing_only_pairwise/best_by_field_mse_model.pt,4890,legacy_honf,0279,application_evaluator,complete,29.480937868356705,29.87493509426713,29.46169662475586,363.654296875,0.0,21.82861328125,462.0,8192,8192,32768,
1404,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1404_20260916_092508_routing_only_pairwise/best_by_field_mse_model.pt,4890,legacy_honf,0279,full_forward,complete,26.018130593001842,26.57203944399953,25.985023498535156,363.349609375,0.0,21.82861328125,462.0,8192,8192,32768,
1404,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1404_20260916_092508_routing_only_pairwise/best_by_field_mse_model.pt,4890,legacy_honf,0279,preparation_plus_one_query,complete,24.42068513482809,28.887413069605827,24.398815155029297,35.47119140625,0.0,21.82861328125,462.0,8192,8192,32768,
1404,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1404_20260916_092508_routing_only_pairwise/best_by_field_mse_model.pt,4890,legacy_honf,0279,prepared_p2_decode,complete,6.385311484336853,6.4436436630785465,6.364160060882568,362.66845703125,0.0,22.09326171875,462.0,8192,8192,32768,
1404,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1404_20260916_092508_routing_only_pairwise/best_by_field_mse_model.pt,4890,legacy_honf,0280,application_evaluator,complete,29.55469209700823,29.575811978429556,29.534528732299805,363.654296875,0.0,21.82861328125,462.0,8192,8192,32768,
1404,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1404_20260916_092508_routing_only_pairwise/best_by_field_mse_model.pt,4890,legacy_honf,0280,full_forward,complete,28.247512876987457,29.88887559622526,28.21241569519043,363.349609375,0.0,21.82861328125,462.0,8192,8192,32768,
